dataset,method,budget_type,requested_budget,success_count,expected_success_count,ready_5x5,mean_micro,std_micro,mean_macro,std_macro,mean_actual_structural_storage_ratio,std_actual_structural_storage_ratio,mean_raw_hgb_text_byte_ratio,budget_match_rate,all_required_metrics_present
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.120,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.160,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.200,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Coarsening-HG-TP,support_node_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Coarsening-HG-TP,support_node_ratio,0.500,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.120,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.160,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.200,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,FreeHGC-score-TP,support_node_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,FreeHGC-score-TP,support_node_ratio,0.500,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,GraphSparsify-TP,structural_storage_ratio,0.120,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,GraphSparsify-TP,structural_storage_ratio,0.160,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,GraphSparsify-TP,structural_storage_ratio,0.200,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,GraphSparsify-TP,structural_storage_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,GraphSparsify-TP,support_node_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,GraphSparsify-TP,support_node_ratio,0.500,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Herding-HG-TP,structural_storage_ratio,0.120,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Herding-HG-TP,structural_storage_ratio,0.160,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Herding-HG-TP,structural_storage_ratio,0.200,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Herding-HG-TP,structural_storage_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Herding-HG-TP,support_node_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Herding-HG-TP,support_node_ratio,0.500,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,KCenter-HG-TP,structural_storage_ratio,0.120,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,KCenter-HG-TP,structural_storage_ratio,0.160,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,KCenter-HG-TP,structural_storage_ratio,0.200,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,KCenter-HG-TP,structural_storage_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,KCenter-HG-TP,support_node_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,KCenter-HG-TP,support_node_ratio,0.500,1,25,False,0.8658450000000001,0.0,0.8608899999999999,0.0,0.324339277514735,0.0,0.5511520019818972,1.0,True
DBLP,Random-HG-TP,structural_storage_ratio,0.120,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Random-HG-TP,structural_storage_ratio,0.160,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Random-HG-TP,structural_storage_ratio,0.200,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Random-HG-TP,structural_storage_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Random-HG-TP,support_node_ratio,0.300,0,25,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
DBLP,Random-HG-TP,support_node_ratio,0.500,1,25,False,0.8478870000000001,0.0,0.842693,0.0,0.31900231092911396,0.0,0.5504105782671678,1.0,True
