dataset,method,budget_type,requested_budget,success_count,budget_match_rate,budget_audit_pass,failure_reason
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Coarsening-HG-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Coarsening-HG-TP,support_node_ratio,0.500,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,FreeHGC-score-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,FreeHGC-score-TP,support_node_ratio,0.500,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,GraphSparsify-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,GraphSparsify-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,GraphSparsify-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,GraphSparsify-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,GraphSparsify-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,GraphSparsify-TP,support_node_ratio,0.500,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Herding-HG-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Herding-HG-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Herding-HG-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Herding-HG-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Herding-HG-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Herding-HG-TP,support_node_ratio,0.500,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,KCenter-HG-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,KCenter-HG-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,KCenter-HG-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,KCenter-HG-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,KCenter-HG-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,KCenter-HG-TP,support_node_ratio,0.500,1,1.0,False,insufficient 5x5 budget-matched real task results
DBLP,Random-HG-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Random-HG-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Random-HG-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Random-HG-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Random-HG-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 budget-matched real task results
DBLP,Random-HG-TP,support_node_ratio,0.500,1,1.0,False,insufficient 5x5 budget-matched real task results
