dataset,method,method_family,budget_type,requested_budget,actual_support_node_ratio,actual_support_edge_ratio,actual_structural_storage_ratio,raw_hgb_text_byte_ratio,graph_seed,training_seed,official_hgb_exported,official_sehgnn_unmodified,training_executed,success,failure_type,failure_reason,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,compress_time_seconds,export_time_seconds,sehgnn_preprocess_time_seconds,train_time_seconds,eval_time_seconds,peak_cpu_rss_mb,peak_gpu_memory_mb,preprocessed_cache_bytes,export_hash,selected_edge_hash,no_test_leakage,budget_matched_within_tolerance,budget_infeasible,eligible_for_external_tp_table,protocol_family,schema_compatible,target_preserving,uses_adapter_loader,uses_synthetic_nodes,uses_weighted_superedges,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_decision,diagnostic_only,uses_test_metrics_for_selection,uses_test_labels_for_selection,no_test_metric_used_for_selection,support_node_ratio,support_edge_ratio,structural_storage_ratio,preprocessed_cache_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio,source_table,success_count,budget_match_rate,budget_audit_pass,ratio,seed_count,expected_seed_count,mean_micro,mean_macro,ready_5seed,protocol,ready,hard_incompatibility,freehgc_root,freehgc_commit,is_git_clone,freehgc_zip,freehgc_zip_exists,freehgc_zip_sha256,freehgc_zip_member_count,required_files_present,train_hgb_exists,model_files_exists,data_loader_exists,required_files_missing,split_verified,reduction_rate_definition_verified,command_line,stdout_path,stderr_path,hgb_train_help_executable,hard_failure_reason,expected_success_count,ready_5x5,utility_source,base_method,feature_transform,label_graph_setting,shape_safe_pass,feature_dims_before_by_type,feature_dims_after_by_type,official_sehgnn_unmodified_or_adapter_name,recovery_vs_base_micro,recovery_vs_full_micro,interpretation_tag,source_gate,preprocess_cache_dir,cache_file_path,cache_file_hash,metapath_key,relation_sequence,input_relation_ids,input_relation_names,feature_tensor_shape,feature_tensor_nnz,feature_tensor_density,feature_tensor_bytes,feature_tensor_hash,label_feature_key,label_feature_shape,label_feature_nnz,label_feature_density,label_feature_bytes,label_feature_hash,real_tensor_dumped,tensor_key_dumped,introspection_supported,assertion_name,expected,actual,pass,fraction_target_authors_with_AP_edge,fraction_authors_reaching_paper,fraction_authors_reaching_venue_via_AP_PV,fraction_reached_papers_with_PV_edge,AP_PV_path_multiplicity_mean,AP_PV_path_multiplicity_p50,AP_PV_path_multiplicity_p90,APA_feedback_path_count_mean,VPA_feedback_path_count_mean,paper_venue_entropy_mean,venue_degree_bucket_coverage,paper_degree_bucket_coverage,author_degree_bucket_coverage,per_class_venue_coverage_json,per_class_paper_coverage_json,venue_class_proxy_purity_trainval,paper_class_proxy_purity_trainval,uses_test_labels_for_proxy,adapter_method,static_inference_package_bytes,transform_recipe_package_bytes,reconstructable_package_bytes,sidecar_feature_bytes,link_dat_bytes,label_split_bytes,schema_bytes,mapping_bytes,projection_seed_bytes,projection_matrix_bytes,pca_basis_bytes,pca_mean_bytes,quantization_metadata_bytes,reproducible_transform_package_complete,artifact_construction_time_seconds,load_time_seconds,decompress_time_seconds,official_sehgnn_preprocess_time_seconds,training_time_seconds,total_workload_time_seconds,raw_disk_bytes,compressed_disk_bytes,num_relation_edges_loaded,num_feature_entries_loaded,interpretation_class,attempted_official_sehgnn_run,recovery_vs_native_full_micro,recovery_vs_native_full_macro,selector_input_semantics,selection_config_hash
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,1,1,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,d2333bf88ae38151306c75ae580a09b5fe2c6f268a3a360cf7f47706ab3c08ed,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,1,2,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,d2333bf88ae38151306c75ae580a09b5fe2c6f268a3a360cf7f47706ab3c08ed,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,1,3,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,d2333bf88ae38151306c75ae580a09b5fe2c6f268a3a360cf7f47706ab3c08ed,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,1,4,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,d2333bf88ae38151306c75ae580a09b5fe2c6f268a3a360cf7f47706ab3c08ed,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,1,5,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,d2333bf88ae38151306c75ae580a09b5fe2c6f268a3a360cf7f47706ab3c08ed,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,2,1,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,fad73e53e7d2fc8f16e7b22f9c67499081a6e5e9b41d3479917bb63beedbbccf,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,2,2,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,fad73e53e7d2fc8f16e7b22f9c67499081a6e5e9b41d3479917bb63beedbbccf,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,2,3,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,fad73e53e7d2fc8f16e7b22f9c67499081a6e5e9b41d3479917bb63beedbbccf,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,2,4,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,fad73e53e7d2fc8f16e7b22f9c67499081a6e5e9b41d3479917bb63beedbbccf,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Random-HG-TP,external_tp_baseline,structural_storage_ratio,0.12,,,,,2,5,True,True,False,False,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,NaN,NaN,,,,,,,,,,NaN,,fad73e53e7d2fc8f16e7b22f9c67499081a6e5e9b41d3479917bb63beedbbccf,True,False,False,False,schema_preserving_tp_workload,True,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,,,external_tp_runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
