dataset,method,artifact_construction_time_seconds,export_time_seconds,load_time_seconds,decompress_time_seconds,official_sehgnn_preprocess_time_seconds,training_time_seconds,eval_time_seconds,total_workload_time_seconds,peak_cpu_rss_mb,peak_gpu_memory_mb,raw_disk_bytes,compressed_disk_bytes,preprocessed_cache_bytes,num_relation_edges_loaded,num_feature_entries_loaded,training_executed,success,test_micro_f1,test_macro_f1,interpretation_class,failure_type,failure_reason
DBLP,raw_hgb_text,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,official HGB text workload,system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,export_full_hgb_text,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,official HGB text workload,system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,gzip_hgb_text,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,"archive/transfer compression, not workload reduction",system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,zstd_hgb_text,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,"archive/transfer compression, not workload reduction",system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,binary_csr_relation_tables,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,"loader-adapter storage format, not unmodified official HGB",system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,binary_csr_plus_int8_features,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,"loader-adapter storage format, not unmodified official HGB",system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,HeSF-RCS-APV12 official text,NaN,,,,,,,,,,NaN,NaN,,NaN,NaN,False,False,NaN,NaN,schema-preserving structural workload reduction,system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,HeSF-RCS-APV16 official text,NaN,,,,,,,,,,NaN,NaN,,NaN,NaN,False,False,NaN,NaN,schema-preserving structural workload reduction,system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,HeSF-RCS-APV12 + RP64 adapter,NaN,,,,,,,,,,NaN,NaN,,NaN,NaN,False,False,NaN,NaN,deployment artifact with loader/feature adapter,system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,HeSF-RCS-APV16 + RP64 adapter,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,deployment artifact with loader/feature adapter,system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,best_external_TP_baseline,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,official HGB text workload,system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
DBLP,FreeHGC-standard if runnable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False,False,NaN,NaN,official HGB text workload,system_workload_cost_not_executed,No end-to-end preprocess/train/memory/cache workload metric exists for this method.
