dataset,method,success_count,expected_success_count,mean_micro,mean_macro,mean_recovery_vs_native_full_micro,mean_recovery_vs_native_full_macro,cross_dataset_ready
ACM,H6-node30,0,5,NaN,NaN,NaN,NaN,False
ACM,HeSF-RCS-auto structural20,0,5,NaN,NaN,NaN,NaN,False
ACM,HeSF-RCS-auto structural30,0,5,NaN,NaN,NaN,NaN,False
ACM,best available external TP baseline,0,5,NaN,NaN,NaN,NaN,False
ACM,export-full,5,5,0.9384323999999999,0.93918,1.0,1.0,True
ACM,full-native,5,5,0.9384323999999999,0.93918,1.0,1.0,True
ACM,random-edge-relation-wise,0,5,NaN,NaN,NaN,NaN,False
DBLP,H6-node30,5,5,0.9470422,0.9433027999999999,0.9933519323843203,0.9931380953941403,True
DBLP,HeSF-RCS-auto structural20,0,5,NaN,NaN,NaN,NaN,False
DBLP,HeSF-RCS-auto structural30,0,5,NaN,NaN,NaN,NaN,False
DBLP,best available external TP baseline,0,5,NaN,NaN,NaN,NaN,False
DBLP,export-full,5,5,0.9533802,0.9498198,1.0,1.0,True
DBLP,full-native,5,5,0.9533802,0.9498198,1.0,1.0,True
DBLP,random-edge-relation-wise,0,5,NaN,NaN,NaN,NaN,False
IMDB,H6-node30,5,5,0.6570166,0.6346849999999999,0.9413811622293181,0.9455935737445905,True
IMDB,HeSF-RCS-auto structural20,0,5,NaN,NaN,NaN,NaN,False
IMDB,HeSF-RCS-auto structural30,0,5,NaN,NaN,NaN,NaN,False
IMDB,best available external TP baseline,0,5,NaN,NaN,NaN,NaN,False
IMDB,export-full,5,5,0.697974,0.6712752,1.0,1.0,True
IMDB,full-native,5,5,0.697974,0.6712752,1.0,1.0,True
IMDB,random-edge-relation-wise,0,5,NaN,NaN,NaN,NaN,False
