dataset,method,fraction_target_authors_with_AP_edge,fraction_authors_reaching_paper,fraction_authors_reaching_venue_via_AP_PV,fraction_reached_papers_with_PV_edge,AP_PV_path_multiplicity_mean,AP_PV_path_multiplicity_p50,AP_PV_path_multiplicity_p90,APA_feedback_path_count_mean,VPA_feedback_path_count_mean,paper_venue_entropy_mean,venue_degree_bucket_coverage,paper_degree_bucket_coverage,author_degree_bucket_coverage,per_class_venue_coverage_json,per_class_paper_coverage_json,venue_class_proxy_purity_trainval,paper_class_proxy_purity_trainval,uses_test_labels_for_proxy,failure_type,failure_reason,source_table,graph_seed,training_seed,official_hgb_exported,official_sehgnn_unmodified,attempted_official_sehgnn_run,training_executed,success,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro,selector_input_semantics,uses_test_metrics_for_selection,selection_config_hash,source_gate,method_family,protocol_family,schema_compatible,target_preserving,uses_adapter_loader,uses_synthetic_nodes,uses_weighted_superedges,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_external_tp_table,eligible_for_standard_condensation_table,eligible_for_decision,diagnostic_only,uses_test_labels_for_selection,no_test_metric_used_for_selection,no_test_leakage,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,preprocessed_cache_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio
DBLP,H6-APV-skeleton,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,{},{},NaN,NaN,False,distributional_coverage_not_executed,Reachability-only sanity is not sufficient for Gate21.14; distributional proxy fields are still missing.,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,HeSF-RCS-APV12,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,{},{},NaN,NaN,False,distributional_coverage_not_executed,Reachability-only sanity is not sufficient for Gate21.14; distributional proxy fields are still missing.,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,HeSF-RCS-APV16,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,{},{},NaN,NaN,False,distributional_coverage_not_executed,Reachability-only sanity is not sufficient for Gate21.14; distributional proxy fields are still missing.,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,APV12-PV75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,{},{},NaN,NaN,False,distributional_coverage_not_executed,Reachability-only sanity is not sufficient for Gate21.14; distributional proxy fields are still missing.,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,APV12-PTTP10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,{},{},NaN,NaN,False,distributional_coverage_not_executed,Reachability-only sanity is not sufficient for Gate21.14; distributional proxy fields are still missing.,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,random-edge-relation-wise,,,,,,,,,,,,,,,,,,,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,cross_dataset_runs,1,1,False,False,False,False,False,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,,,,,,,,,,,,,,,,,,,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,cross_dataset_runs,1,2,False,False,False,False,False,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,,,,,,,,,,,,,,,,,,,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,cross_dataset_runs,1,3,False,False,False,False,False,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,,,,,,,,,,,,,,,,,,,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,cross_dataset_runs,1,4,False,False,False,False,False,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,random-edge-relation-wise,,,,,,,,,,,,,,,,,,,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,cross_dataset_runs,1,5,False,False,False,False,False,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,c363db4c5747ba8091a85290efa40ad94551150b159582c594b899f6f0186d4c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
