flag,value
FULL_NATIVE_READY_BY_DATASET,True
FULL_NATIVE_READY_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
EXPORT_FULL_FIDELITY_PASS_BY_DATASET,True
EXPORT_FULL_FIDELITY_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
MAIN_TABLE_HAS_DBLP_ACM_IMDB,True
HESF_RCS_REP_SELECTED_WITHOUT_TEST_LEAKAGE,False
HESF_RCS_REP_SELECTED_DETAIL_BY_DATASET,"{""ACM"": false, ""DBLP"": false, ""IMDB"": false}"
HESF_RCS_REP_TASK_RESULTS_READY,False
HESF_RCS_REP_TASK_READY_DETAIL_BY_DATASET,"{""ACM"": false, ""DBLP"": false, ""IMDB"": false}"
STRUCTURAL_BASELINES_READY,False
EXTERNAL_TP_BASELINES_CLONED_OR_IMPLEMENTED,True
EXTERNAL_TP_TASK_RESULTS_READY,False
FREEHGC_STANDARD_READY_OR_HARD_FAILURE_RECORDED,True
FREEHGC_SCORE_TP_READY,False
BUDGET_MATCH_AUDIT_PASS,True
NO_DIAGNOSTIC_OR_ADAPTER_ROWS_IN_MAIN_TABLE,True
NO_PLACEHOLDER_NUMERIC_VALUES_IN_SUCCESS_ROWS,True
STAGE_REPORT_TABLE_READY,False
