dataset,method,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,raw_hgb_text_byte_ratio,link_dat_bytes,node_dat_bytes,export_total_bytes,native_full_total_bytes,success,failure_type,failure_reason
DBLP,Full-native-SeHGNN,,,,,,,,,,,,,True,,
DBLP,Export-full-SeHGNN,,,,,,,,,,,,,True,,
ACM,Full-native-SeHGNN,,,,,,,,,,,,,True,,
ACM,Export-full-SeHGNN,,,,,,,,,,,,,True,,
IMDB,Full-native-SeHGNN,,,,,,,,,,,,,True,,
IMDB,Export-full-SeHGNN,,,,,,,,,,,,,True,,
DBLP,H6-node30,support_node_ratio,0.3,0.7765286382078632,0.3,0.8166434302029504,,,0.7765286382078632,,,,,True,,
DBLP,flatten-node30,support_node_ratio,0.3,0.8210460153409561,0.3,0.8660160456826094,,,0.8210460153409561,,,,,True,,
DBLP,TypedHash-node30,support_node_ratio,0.3,0.8866101605606449,0.3,0.9387308716595845,,,0.8866101605606449,,,,,True,,
ACM,H6-node30,support_node_ratio,0.3,0.8274864266106432,0.3,0.8341546930669937,,,,,,,,False,failed_runtime,"Traceback (most recent call last):
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 588, in <module>
    main(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 22, in main
    g, adjs, init_labels, num_classes, dl, trainval_nid, test_nid = load_dataset(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\utils.py"", line 383, in load_dataset
    assert torch.all(row == PK.storage.row()) and torch.all(col == PK.storage.col())
RuntimeError: The size of tensor a (255619) must match the size of tensor b (213104) at non-singleton dimension 0"
ACM,flatten-node30,support_node_ratio,0.3,,0.3,,,,,,,,,False,missing_task_metric,flatten-node30 has no official SeHGNN task metric for ACM.
ACM,TypedHash-node30,support_node_ratio,0.3,,0.3,,,,,,,,,False,missing_task_metric,TypedHash-node30 has no official SeHGNN task metric for ACM.
IMDB,H6-node30,support_node_ratio,0.3,0.8926449630767522,0.3,0.9993074952101753,,,0.8926449630767522,,,,,True,,
IMDB,flatten-node30,support_node_ratio,0.3,,0.3,,,,,,,,,False,missing_task_metric,flatten-node30 has no official SeHGNN task metric for IMDB.
IMDB,TypedHash-node30,support_node_ratio,0.3,,0.3,,,,,,,,,False,missing_task_metric,TypedHash-node30 has no official SeHGNN task metric for IMDB.
DBLP,Random-edge-relwise,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-edge-relwise,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-edge-relwise,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-edge-relwise,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-edge-relwise,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
