dataset,method,requested_budget,relation_group,retention_policy,target_preserving,reciprocal_constraints_preserved,dataset_specific_constraints_preserved,selected_edge_hash
DBLP,Random-edge-relwise,0.5,all_relations_schema_preserved,Random-edge-relwise,True,True,True,7270cc8838f6c1f7ca1082717b907ebb31f43e7aed105f64453d75faf2073b9c
DBLP,Random-edge-relwise,0.3,all_relations_schema_preserved,Random-edge-relwise,True,True,True,0d9edda79305e9f150a689ef3e367c46411f1c08afa58623b54ce6ae183c89d7
DBLP,Random-edge-relwise,0.2,all_relations_schema_preserved,Random-edge-relwise,True,True,True,6f6a81cb242d9219328b959e1009e7af685d3937f3409e67735e87685131dff1
DBLP,Random-edge-relwise,0.16,all_relations_schema_preserved,Random-edge-relwise,True,True,True,e8bd961c4b5bb5ca331283eefe1d8ab7a73d8eb0c69d13e66b885ea485b82340
DBLP,Random-edge-relwise,0.12,all_relations_schema_preserved,Random-edge-relwise,True,True,True,3587fbb73d09438b305cb08e656863ea075da21347e699c4088f7804070055e7
DBLP,Degree-edge-relwise,0.5,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,b31b2538e46c3718f9aad9eac2d1d816b5be97d66ab2cebf5179c4265e4f0e7d
DBLP,Degree-edge-relwise,0.3,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,c94a997163a4a4c7cfab6119e7dbc92b2fb418331e7fc21f12bd51a8260a01f0
DBLP,Degree-edge-relwise,0.2,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,c06671bf9b15ddb59ea7c44a42521159a6afabe97b5a6e56c9b1071b54c3e8fc
DBLP,Degree-edge-relwise,0.16,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,830db97e28cc85f08d13419c6c2554043ee3f450abd4d59922dd74ae6d8e67ca
DBLP,Degree-edge-relwise,0.12,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,2edb62ff7fb1ffc939f59112596425cd2e5a69ad499e6c8c5ae553d31d67621e
DBLP,Proportional-relation-budget,0.5,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,d7da038e32feda352ec12474d186b28b644cea985af7aed5fbf73b7dd20d6c43
DBLP,Proportional-relation-budget,0.3,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,590a5f25392e6208b70cbcfff2cb207fc8322ebb5e860596404df0241344cc21
DBLP,Proportional-relation-budget,0.2,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,b9ccad4e5167f9b7c533f10519a8f62c759ef8ee56a9eefa68a2e6e438534cfb
DBLP,Proportional-relation-budget,0.16,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,dcb6648a14303d2e27a56541e25f016ee3c75a73d8421ab4accef4480cb78b27
DBLP,Proportional-relation-budget,0.12,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,f1a06b70d0f9eb6da5d3de1b3955a371c81e5b08189aec64226bab02f2a095b3
ACM,Random-edge-relwise,0.5,all_relations_schema_preserved,Random-edge-relwise,True,True,True,04ef38977a817091a9488adc1cdb2cea2ed0b7158da81d3b5567617b7b3aecb0
ACM,Random-edge-relwise,0.3,all_relations_schema_preserved,Random-edge-relwise,True,True,True,410bf8873bfa3efcc633a73fa8fc9d7e56ac7f0420869ed60f9a61a4440c98da
ACM,Random-edge-relwise,0.2,all_relations_schema_preserved,Random-edge-relwise,True,True,True,9618167c7eacff9ee5bbd5a974afb1784d901adb2f131e9c616b7f833c01a4f8
ACM,Random-edge-relwise,0.16,all_relations_schema_preserved,Random-edge-relwise,True,True,True,be051eee4378dc7ac48c7e5552ea61cb357c48892b412e948ad326656686a68c
ACM,Random-edge-relwise,0.12,all_relations_schema_preserved,Random-edge-relwise,True,True,True,329a854bd3692511aa26cdd3f393ec17add6a8f7871dcf136f9a69e053451646
ACM,Degree-edge-relwise,0.5,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,1149259f09dae73fc4cc57cfd27d39d49459216e409e137159d255d29cdc7c13
ACM,Degree-edge-relwise,0.3,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,6786752573d94b879a98de02207c6f4d98a727411f15220bda921575306d46f2
ACM,Degree-edge-relwise,0.2,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,7f176ead918be79968e881e07510f827d41467a11017caf05ed737c4549897c1
ACM,Degree-edge-relwise,0.16,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,69795af1f2ab0e063952835d9c230fa762886a933b99bd323922b3afa00c0b1d
ACM,Degree-edge-relwise,0.12,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,140aabb81db2c7c0f0bab4f4ac8824e4cd70e9208e434ae7666263765597ee65
ACM,Proportional-relation-budget,0.5,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,290f6d8d841efe8f863d2239d843eea01da9887b7c310ee083273b7dbcd48c86
ACM,Proportional-relation-budget,0.3,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,244cdd9c1ddd401870b880126fc72658162aa873ee50a946253dc088ce0e77f4
ACM,Proportional-relation-budget,0.2,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,a692150977112a9ac236d39c8cc9d393287228a34b01b54c77fc4a4408cdd8bd
ACM,Proportional-relation-budget,0.16,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,6206a61338d5db3723a71d70b425a0d370d766b4159ab234500306868e2e9b30
ACM,Proportional-relation-budget,0.12,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,a508fea5d0453c6e95ec5ed4f9b9c402899be1c351fe92697212da5402202a74
IMDB,Random-edge-relwise,0.5,all_relations_schema_preserved,Random-edge-relwise,True,True,True,cc80e8302d9f46df39c127d623f99ee86104b0b81e2de12a9ab2f1e3ad0a2223
IMDB,Random-edge-relwise,0.3,all_relations_schema_preserved,Random-edge-relwise,True,True,True,2e4868a5cfa010c58f40cc491526744d0c8b423b90d45bd2d51df85345cbb856
IMDB,Random-edge-relwise,0.2,all_relations_schema_preserved,Random-edge-relwise,True,True,True,5fe459550ee8fb6848053d931797d81d6819efc18d43ad4d390957739d335842
IMDB,Random-edge-relwise,0.16,all_relations_schema_preserved,Random-edge-relwise,True,True,True,5bd51fb0fe42e14fb8c89c65336b412aa3cd42838a2725537b3dd2a17d5d75c0
IMDB,Random-edge-relwise,0.12,all_relations_schema_preserved,Random-edge-relwise,True,True,True,b38fa377597ee658dd30cfdf761c911c3a988a2edc69b9ae7a1b6b241fc1bfdd
IMDB,Degree-edge-relwise,0.5,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,8fc91f23d8dd9aa13fd4d059c56a865c76b0287da70b03b4b140ceb327fd9636
IMDB,Degree-edge-relwise,0.3,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,fb733a31505528d7ee933dd720358e3e4a3c8f8f8eddcc482f3ca14c864c2263
IMDB,Degree-edge-relwise,0.2,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,4ff01337993a85b1fd97e51c66da72ba18af39fdf2106cbabfb14dca6280c5af
IMDB,Degree-edge-relwise,0.16,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,0ee5a1956acfc599183a5f1f104cbd5b0b74b92be98c4ee0aefaef2e37fdf888
IMDB,Degree-edge-relwise,0.12,all_relations_schema_preserved,Degree-edge-relwise,True,True,True,9511724c6b2c268aa12cf97a653889d4d6f51f5d841e8754192c207d9fdd77c6
IMDB,Proportional-relation-budget,0.5,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,054a005e00f5d97597f5f0e3fbc93c4891e654f4fc3872f372f5711bbfba221f
IMDB,Proportional-relation-budget,0.3,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,8c91d18b892f224bce11ddc92cd591d98b243419846c9ec15d242310b6928c0f
IMDB,Proportional-relation-budget,0.2,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,e3bb2a8abd2c88cc65b0087c3381cf961270ef491657c63e9d5856e3298b53b0
IMDB,Proportional-relation-budget,0.16,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,44d94aac326ed7602256f7bd7c6a53c73ed62903df7c52209dc8e423908c8e5a
IMDB,Proportional-relation-budget,0.12,all_relations_schema_preserved,Proportional-relation-budget,True,True,True,1a6e87469ae52a8dc3ae1b6a620e5da7f23ad310ad68b91c2b9c995e763f51cd
