dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,7270cc8838f6c1f7ca1082717b907ebb31f43e7aed105f64453d75faf2073b9c,a0f188df0bfd0704a995a70728e76eafedc5d6f588f4065b3ff94fd97ad8280d,local:structural_baseline_impl,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,0d9edda79305e9f150a689ef3e367c46411f1c08afa58623b54ce6ae183c89d7,72bf5dc6c59a26f7f515ccc36a90cd725a44d0891a3b90c06979c6ba634638b8,local:structural_baseline_impl,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,6f6a81cb242d9219328b959e1009e7af685d3937f3409e67735e87685131dff1,3eadf9c3d84f790f001bb2bd0b4182ba40bbbfa853c9f86bda75c8105ce85d37,local:structural_baseline_impl,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,e8bd961c4b5bb5ca331283eefe1d8ab7a73d8eb0c69d13e66b885ea485b82340,746e44d7f3154728a8a258a835c9d5cb377f309067aa97abb580fb2e991d25a4,local:structural_baseline_impl,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,3587fbb73d09438b305cb08e656863ea075da21347e699c4088f7804070055e7,b5fd22c0387e406cd61450d3ab7981c0b2e9d3de4313fb8592a48b8f3dfec68a,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,b31b2538e46c3718f9aad9eac2d1d816b5be97d66ab2cebf5179c4265e4f0e7d,ddb2de4e831ce070c4e97fd6cab306fee4d448cbe9a4175016f74045391b3aaa,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,c94a997163a4a4c7cfab6119e7dbc92b2fb418331e7fc21f12bd51a8260a01f0,81d64197b34aa9d154ae985ba5eff587dcc636ef5fa5d90fa71cf5690f06ad94,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,c06671bf9b15ddb59ea7c44a42521159a6afabe97b5a6e56c9b1071b54c3e8fc,4e2141c985b1052867869b1b66b0956889b067a8e0791fbad5cb9c9c2dec44e7,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,830db97e28cc85f08d13419c6c2554043ee3f450abd4d59922dd74ae6d8e67ca,4ed96303a344ed3bce8e85678e5ae4c563886714e4cc1b19c477eba95dba8448,local:structural_baseline_impl,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Degree-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,2edb62ff7fb1ffc939f59112596425cd2e5a69ad499e6c8c5ae553d31d67621e,59e1e5a5e372d3f10f94292b1c855521a6af51ad4d4650c1a7ddc9e2a0b86378,local:structural_baseline_impl,
