dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url
DBLP,FreeHGC-score-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,ba2d48b07f2d1dc9e31116937ddf57df601c57daccf8f81ac9f176492a8d2016,540aa8d8ec5df1c6b3b00f19b9d225754e78a6932150429bf15e826b59ac085f,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
DBLP,FreeHGC-score-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,60b6b3b155be9692b18682f3dbaf5d847bf87bb4a9f61914f6b215960daa6e64,f3f671e83df018adad4d03a51bb5b28058c334646b9601f47f3c3b9f87f29138,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
DBLP,FreeHGC-score-TP,external_tp_baseline,structural_storage_ratio,0.3,0.3,,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,d53b623a064f06312463684617f374822244ab0d47c133843e37529124c37d97,877eee5f5c00ba5ebba28058cdf882de07c6eb82f9166e840a9268b0342f6ec6,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
DBLP,FreeHGC-score-TP,external_tp_baseline,structural_storage_ratio,0.2,0.2,,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,6fb58e5b852a17e8b5ef057e51fa8f77a53e9b8769f377bd74ec960c636d5e4e,9bb28bd116888cede480d6b5c63ed300b1ca7ef74755443ce705bc0a63e9baad,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
DBLP,FreeHGC-score-TP,external_tp_baseline,structural_storage_ratio,0.16,0.16,,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,869802884b23d5aca69825cbdbc3af68fe696200075b944ebc8fca62eb50a90e,d1671b61817e1ecf0c1105e5d3695aa95ab01a5f4ea2e072165aaef62262c91c,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,external_tp_baseline,support_node_ratio,0.3,,0.3,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,368b92d26076c245f242d66f6b596e37d9567ca5af6a69d551abfcc8fa3baa48,b2ba571a71ce8db592f9f12e5d9487a7d3c7008f17122a3541e0e86e49637d5f,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,1ce9d5150258a6a88a377b5c9738295f1ada535193cc3ef7278b9d39c2fcb862,78028d36b9d48f6f3c37d7c84ec8fcf1011a377be44e5b5d47886f560a213cec,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,external_tp_baseline,structural_storage_ratio,0.3,0.3,,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,11db580df0df67b956d7ecf971b7b41563c93accf4168a021477a95088370c27,1a5d4d0e5f845cbd4f4afe9d6bf2f40b0fe30583a14740b9b343af1a3a175c0a,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,external_tp_baseline,structural_storage_ratio,0.2,0.2,,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,8f2581ee5994c33719232792ab723a10d817fd22e89daca1b9bdb9f548a69430,c29d1e8df8a1d5b4cbd2873300838e8c4e5aaa5235753782c681cf8eeb4eb195,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
ACM,FreeHGC-score-TP,external_tp_baseline,structural_storage_ratio,0.16,0.16,,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,0b4ec679382ff970c838015db96a51a1c7eba9c23e90af4354244b537d43ac8d,c3ec9175e3bf96a1bda2b950c25954bea1097904c087f40291f322d0224fe20e,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
