dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url,stdout_path,stderr_path,export_dir,selection_source,rep_selection_confidence,uses_test_for_selection,eligible_for_decision,source_method
DBLP,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,
DBLP,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,
ACM,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,
ACM,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,
IMDB,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,
IMDB,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,
ACM,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.8274864266106432,0.3,0.8341546930669937,0.8274864266106432,,,,,,,,,,,,True,True,False,True,False,True,False,official_training_runtime_error,"Traceback (most recent call last):
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 588, in <module>
    main(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 22, in main
    g, adjs, init_labels, num_classes, dl, trainval_nid, test_nid = load_dataset(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\utils.py"", line 383, in load_dataset
    assert torch.all(row == PK.storage.row()) and torch.all(col == PK.storage.col())
RuntimeError: The size of tensor a (255619) must match the size of tensor b (213104) at non-singleton dimension 0",,,D:\HeSF-Coarsen\outputs\gate21_14_cross_h6_training\compressed\gate21_0_compressed_metrics.csv,,outputs\gate21_14_cross_h6_training\compressed\compressed_raw_stdout\ACM_H6-node30_1.log,outputs\gate21_14_cross_h6_training\compressed\compressed_raw_stderr\ACM_H6-node30_1.stderr,,,,,,
IMDB,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.8926449630767522,0.3,0.9993074952101753,0.8926449630767522,1,5,0.6570166000000001,0.003959152919501895,0.634685,0.004949489549438394,0.6481066,0.6268784000000001,,0.9413811622293182,0.9455935737445905,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_14_cross_h6_training\compressed\gate21_0_compressed_metrics.csv,,,,,,,,,
DBLP,HeSF-RCS-auto structural16,schema_preserving_rcs,structural_storage_ratio,0.16,0.15916430179078186,0.30003171582619725,0.131946937378426,0.5312848976907086,1,5,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,,,0.937695148,0.9962325245858523,,True,True,True,True,True,True,True,,,bea49e9a3e68d44baafd75257133b6024ee628509587c8c9a9be189930c837a8,23e285fede80cb0af48e105d629b50806ad6773502857f9444fbabd39ffcd3d7,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,,,,,,,,,
DBLP,HeSF-RCS-auto structural12,schema_preserving_rcs,structural_storage_ratio,0.12,0.11951718894668302,0.30003171582619725,0.08797575615905429,0.5300203883188904,1,5,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,,,0.953770196,0.9909888540742896,,True,True,True,True,True,True,True,,,240529d8a23de77b2e84e2982b97536b1afd41eb1648bc112ccbca988d736476,e1573e8488ad75bf47007b991bb6325033ffcdda25001aa4e662dbadf0b58630,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,,,,,,,,,
ACM,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,0.2,0.3,,,,,,,,,,,0.93,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,,gate21_16_ACM_HeSF-RCS-auto structural20,local:gate21_16_selector_modes,,,,,,,,,
IMDB,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,0.2,0.3,,,,,,,,,,,0.93,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,,gate21_16_IMDB_HeSF-RCS-auto structural20,local:gate21_16_selector_modes,,,,,,,,,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,6f6a81cb242d9219328b959e1009e7af685d3937f3409e67735e87685131dff1,3eadf9c3d84f790f001bb2bd0b4182ba40bbbfa853c9f86bda75c8105ce85d37,local:structural_baseline_impl,,,,,,,,,
DBLP,Degree-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,c06671bf9b15ddb59ea7c44a42521159a6afabe97b5a6e56c9b1071b54c3e8fc,4e2141c985b1052867869b1b66b0956889b067a8e0791fbad5cb9c9c2dec44e7,local:structural_baseline_impl,,,,,,,,,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,b9ccad4e5167f9b7c533f10519a8f62c759ef8ee56a9eefa68a2e6e438534cfb,4354bee02d2d8103ae9311eb09253a62445ceb5b71c91a397fd73cf4e42bfcbf,local:structural_baseline_impl,,,,,,,,,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,9618167c7eacff9ee5bbd5a974afb1784d901adb2f131e9c616b7f833c01a4f8,c3614447e48076f7f582a629c76f45a957915a066fba191f335740e3f61a21e3,local:structural_baseline_impl,,,,,,,,,
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,5fe459550ee8fb6848053d931797d81d6819efc18d43ad4d390957739d335842,77f42e0d4f3377ea591ffaeb3de6c1414a456975e7a3daa0f8e9c7f334529530,local:structural_baseline_impl,,,,,,,,,
DBLP,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,ea66bfc065dcf3b1c68d1cd9b4064e5f10241f08572cbee8680e369d06447bb0,6119ca44ae705647e322c4a63cece1a1edbfb6f471293b2ee697f38d099766e2,local:external_tp_baseline_impl,,,,,,,,,
DBLP,FreeHGC-score-TP,external_tp_baseline,structural_storage_ratio,0.2,0.2,,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,6fb58e5b852a17e8b5ef057e51fa8f77a53e9b8769f377bd74ec960c636d5e4e,9bb28bd116888cede480d6b5c63ed300b1ca7ef74755443ce705bc0a63e9baad,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC,,,,,,,,
ACM,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,c9099585bbd47b9cdd6399db1386b080a26cd4a8e273a29e966fea45cb4faa48,c53e474fd23227bac7a2ebbd04dd6f902c20a0b889e310f2d083271051652f6f,local:external_tp_baseline_impl,,,,,,,,,
IMDB,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,3,3,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,9cbf261120de9b81cbdf7f86e40da08ad683190e1641c8b0ffbab89321d957f6,4f9bcfddb4ef100cff6a10388f5ee7c9b9d87f6ea880b5df5a1167f095461651,local:external_tp_baseline_impl,,,,,,,,,
DBLP,HGCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,,,local:condensation_score_tp_local,https://github.com/jianjianGJ/hgcond,,,,,,,,
DBLP,GCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,,,local:condensation_score_tp_local,https://github.com/ChandlerBang/GCond,,,,,,,,
ACM,HGCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,,,local:condensation_score_tp_local,https://github.com/jianjianGJ/hgcond,,,,,,,,
ACM,GCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,,,local:condensation_score_tp_local,https://github.com/ChandlerBang/GCond,,,,,,,,
IMDB,HGCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,,,local:condensation_score_tp_local,https://github.com/jianjianGJ/hgcond,,,,,,,,
IMDB,GCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,,0.5,,,,,,,,,,,,,,True,True,True,True,False,True,False,export_schema_failure,Missing required HGB files in export_dir: node.dat;link.dat;label.dat;label.dat.test;info.dat,,,local:condensation_score_tp_local,https://github.com/ChandlerBang/GCond,,,,,,,,
