dataset,method,requested_budget_type,requested_budget,actual_structural_storage_ratio,export_dir,selected_edge_hash,planner_config_hash,graph_seed,training_seed,source_row_id
ACM,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,0.2,,,gate21_16_ACM_HeSF-RCS-auto structural20,1,1,10
IMDB,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,0.2,,,gate21_16_IMDB_HeSF-RCS-auto structural20,1,1,11
DBLP,Random-edge-relwise,structural_storage_ratio,0.2,0.2,,6f6a81cb242d9219328b959e1009e7af685d3937f3409e67735e87685131dff1,3eadf9c3d84f790f001bb2bd0b4182ba40bbbfa853c9f86bda75c8105ce85d37,1,1,12
DBLP,Degree-edge-relwise,structural_storage_ratio,0.2,0.2,,c06671bf9b15ddb59ea7c44a42521159a6afabe97b5a6e56c9b1071b54c3e8fc,4e2141c985b1052867869b1b66b0956889b067a8e0791fbad5cb9c9c2dec44e7,1,1,13
DBLP,Proportional-relation-budget,structural_storage_ratio,0.2,0.2,,b9ccad4e5167f9b7c533f10519a8f62c759ef8ee56a9eefa68a2e6e438534cfb,4354bee02d2d8103ae9311eb09253a62445ceb5b71c91a397fd73cf4e42bfcbf,1,1,14
ACM,Random-edge-relwise,structural_storage_ratio,0.2,0.2,,9618167c7eacff9ee5bbd5a974afb1784d901adb2f131e9c616b7f833c01a4f8,c3614447e48076f7f582a629c76f45a957915a066fba191f335740e3f61a21e3,1,1,15
IMDB,Random-edge-relwise,structural_storage_ratio,0.2,0.2,,5fe459550ee8fb6848053d931797d81d6819efc18d43ad4d390957739d335842,77f42e0d4f3377ea591ffaeb3de6c1414a456975e7a3daa0f8e9c7f334529530,1,1,16
DBLP,Herding-HG-TP,support_node_ratio,0.5,,,ea66bfc065dcf3b1c68d1cd9b4064e5f10241f08572cbee8680e369d06447bb0,6119ca44ae705647e322c4a63cece1a1edbfb6f471293b2ee697f38d099766e2,1,1,17
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.2,0.2,,6fb58e5b852a17e8b5ef057e51fa8f77a53e9b8769f377bd74ec960c636d5e4e,9bb28bd116888cede480d6b5c63ed300b1ca7ef74755443ce705bc0a63e9baad,1,1,18
ACM,Herding-HG-TP,support_node_ratio,0.5,,,c9099585bbd47b9cdd6399db1386b080a26cd4a8e273a29e966fea45cb4faa48,c53e474fd23227bac7a2ebbd04dd6f902c20a0b889e310f2d083271051652f6f,1,1,19
IMDB,Herding-HG-TP,support_node_ratio,0.5,,,9cbf261120de9b81cbdf7f86e40da08ad683190e1641c8b0ffbab89321d957f6,4f9bcfddb4ef100cff6a10388f5ee7c9b9d87f6ea880b5df5a1167f095461651,1,1,20
DBLP,HGCond-score-TP-local,support_node_ratio,0.5,,,,,1,1,21
DBLP,GCond-score-TP-local,support_node_ratio,0.5,,,,,1,1,22
ACM,HGCond-score-TP-local,support_node_ratio,0.5,,,,,1,1,23
ACM,GCond-score-TP-local,support_node_ratio,0.5,,,,,1,1,24
IMDB,HGCond-score-TP-local,support_node_ratio,0.5,,,,,1,1,25
IMDB,GCond-score-TP-local,support_node_ratio,0.5,,,,,1,1,26
