flag,value
FULL_NATIVE_READY_BY_DATASET,True
EXPORT_FULL_FIDELITY_PASS_BY_DATASET,True
ACM_EXPORT_CONSISTENCY_PASS,True
IMDB_EXPORT_CONSISTENCY_PASS,True
STRUCTURAL_BASELINES_SMOKE_EXECUTED_BY_DATASET,True
STRUCTURAL_BASELINES_QUICK_READY_BY_DATASET,False
EXTERNAL_TP_SMOKE_EXECUTED_BY_DATASET,True
EXTERNAL_TP_QUICK_READY_BY_DATASET,True
FREEHGC_SCORE_TP_SMOKE_EXECUTED_BY_DATASET,True
CONDENSATION_SCORE_TP_SMOKE_EXECUTED_BY_DATASET,True
HESF_RCS_AUTO_EXECUTED_BY_DATASET,True
HESF_RCS_REP_SELECTED_WITHOUT_TEST_LEAKAGE,True
HESF_RCS_REP_ACTUAL_VALIDATION_READY,False
STAGE_REPORT_SMOKE_READY,True
STAGE_REPORT_QUICK_READY,False
NO_IMPLEMENTED_PENDING_ROWS_IN_FINAL_TABLE,True
NO_DIAGNOSTIC_OR_ADAPTER_ROWS_IN_MAIN_TABLE,True
NO_PLACEHOLDER_NUMERIC_VALUES_IN_SUCCESS_ROWS,True
FULL_NATIVE_READY_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
EXPORT_FULL_FIDELITY_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
STRUCTURAL_BASELINES_SMOKE_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
STRUCTURAL_BASELINES_QUICK_DETAIL_BY_DATASET,"{""ACM"": false, ""DBLP"": false, ""IMDB"": false}"
EXTERNAL_TP_SMOKE_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
EXTERNAL_TP_QUICK_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
FREEHGC_SCORE_TP_DETAIL_BY_DATASET,"{""ACM"": ""not_required_for_smoke"", ""DBLP"": true, ""IMDB"": ""not_required_for_smoke""}"
CONDENSATION_SCORE_TP_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
HESF_RCS_AUTO_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
HESF_RCS_REP_SELECTED_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": true, ""IMDB"": true}"
HESF_RCS_REP_ACTUAL_VALIDATION_DETAIL_BY_DATASET,"{""ACM"": true, ""DBLP"": false, ""IMDB"": true}"
