dataset,method,requested_budget_type,requested_budget,actual_structural_storage_ratio,export_dir,selected_edge_hash,planner_config_hash,graph_seed,training_seed,source_row_id
ACM,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,1.0,outputs\gate21_17_smoke\exports\ACM\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\ACM,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,593b2e1af3041bd6f80a44b5d83f8327ff740b591f0405382e44e28b3b40cba5,1,1,10
IMDB,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,1.0,outputs\gate21_17_smoke\exports\IMDB\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,940bb678e401aa999e22ad5712e0a3c6d4b10e9fac736beb0093c41d1c98ad6e,1,1,11
DBLP,Random-edge-relwise,structural_storage_ratio,0.2,0.973352050915338,outputs\gate21_17_smoke\exports\DBLP\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP,52d4747d5093a24e92f912f28125ce50d963ff3d33b5c22b5cb793085bef26c5,547ca953da27970555231a79cdf6df4108415b1c9e10a86c6f6681db457e95d6,1,1,12
DBLP,Degree-edge-relwise,structural_storage_ratio,0.2,0.9733514448741529,outputs\gate21_17_smoke\exports\DBLP\1\Degree_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP,a8ee7ca10cb29926e83a22fc83d88749f5031ddf733695bfcc5d0f315682b62d,83f4e703207cd1259b1c9ea7ca10cf261bc75aadfc23e953c3a61c10ca72fb22,1,1,13
DBLP,Proportional-relation-budget,structural_storage_ratio,0.2,0.9731947453502058,outputs\gate21_17_smoke\exports\DBLP\1\Proportional_relation_budget\structural_storage_ratio_0p2\official_trainval\DBLP,1f258538b0ece5ea8c89cbc718c71747acfbd897c88c37715d6cde5309031996,3626a28b2e10ce0658ce2df206397d3ba26b2c123a10545c1bb6af4f57ac6421,1,1,14
ACM,Random-edge-relwise,structural_storage_ratio,0.2,1.0,outputs\gate21_17_smoke\exports\ACM\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\ACM,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,2dd34fc5bb1fca04e54a2a9f1ad8122826db84e15cb2e9da329ba8c4dc489c94,1,1,15
IMDB,Random-edge-relwise,structural_storage_ratio,0.2,1.0,outputs\gate21_17_smoke\exports\IMDB\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\IMDB,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,b40f710763d5ef9e781f233b1fefcae463b24a8160f275db2ec86b62cadd798b,1,1,16
DBLP,Herding-HG-TP,support_node_ratio,0.5,0.511910701649485,outputs\gate21_17_smoke\exports\DBLP\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\DBLP,647bad335b94dab46873a6699551fdc1357fc6eb7333a91a1d1c3f5ef03cc314,63f2ac1c75906fb2952e380d523a04669a7147dbdc6da1897f09145eba40fabc,1,1,17
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.2,0.48523595039340783,outputs\gate21_17_smoke\exports\DBLP\1\FreeHGC_score_TP\structural_storage_ratio_0p2\official_trainval\DBLP,babd368aebf30b77ce8c28332b72719655c28e856fdbf0ef064a7267c425264b,0a9de59a99ccdcd6d36911a33fe81a00cf8b1853c6399c37b40a0893aeb0eddb,1,1,18
ACM,Herding-HG-TP,support_node_ratio,0.5,1.0,outputs\gate21_17_smoke\exports\ACM\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\ACM,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,a2c98a7f273fe8cd25bc1b386d985c69e9b810e3f79fb7f3e3459c532ccaa4b0,1,1,19
IMDB,Herding-HG-TP,support_node_ratio,0.5,1.0,outputs\gate21_17_smoke\exports\IMDB\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\IMDB,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,218a69cfb278b2937f34f540a58abf805b7dccbba64e94769017c56965349821,1,1,20
DBLP,HGCond-score-TP-local,support_node_ratio,0.5,0.5118805814025809,outputs\gate21_17_smoke\exports\DBLP\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP,bff7996ff505279aa56ae1a4709f2af52c4453c5c996275b5353ba3902436ceb,7a61f116740ff764184ab974cbd661a1ab5353e0ecac0377cce9900e3afbdfac,1,1,21
DBLP,GCond-score-TP-local,support_node_ratio,0.5,0.5119158908771333,outputs\gate21_17_smoke\exports\DBLP\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP,ebba02c3d3ce335a4a4b400b9e226772fbf1d6aff2ec12c165984cde86cc9cc2,60b8572ff30147b41009a879d7099b86bbf5b1217eaea1cee9d3fdcb015e87a3,1,1,22
ACM,HGCond-score-TP-local,support_node_ratio,0.5,1.0,outputs\gate21_17_smoke\exports\ACM\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,14cb3f25b8b35d7faffe35d9dc2ab49a48df7a7c7fecabb71a9bab3dd946e857,1,1,23
ACM,GCond-score-TP-local,support_node_ratio,0.5,1.0,outputs\gate21_17_smoke\exports\ACM\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,9d50b7f0c4471e682fa7af537f70f8ae58598367938b090e09e033eaed3f4153,1,1,24
IMDB,HGCond-score-TP-local,support_node_ratio,0.5,1.0,outputs\gate21_17_smoke\exports\IMDB\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,c81c799016ae6aae8f4df9a6a4d693be49186640e0c87927be2041b788c516a3,1,1,25
IMDB,GCond-score-TP-local,support_node_ratio,0.5,1.0,outputs\gate21_17_smoke\exports\IMDB\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,f04e37ec1beb74a12ee4dc9c7c2c92d567264ac61a97831a881d44a24c5e0f2f,1,1,26
