dataset,method,requested_budget_type,requested_budget,actual_structural_storage_ratio,export_dir,selected_edge_hash,planner_config_hash,graph_seed,training_seed,source_row_id,export_export_dir_exists,export_node_dat_exists,export_link_dat_exists,export_label_dat_exists,export_label_dat_test_exists,export_info_dat_exists,export_missing_required_files,export_export_dir_ready,export_failure_type,export_failure_reason,seed,status,command,train_time_sec,peak_memory_mb,stdout_path,stderr_path,error_message,best_epoch,validation_micro_f1,validation_macro_f1,test_micro_f1,test_macro_f1,test_accuracy_if_single_label,is_multilabel,loss_type,training_executed,success,failure_type,failure_reason
ACM,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,1.0,outputs\gate21_17_smoke\exports\ACM\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\ACM,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,593b2e1af3041bd6f80a44b5d83f8327ff740b591f0405382e44e28b3b40cba5,1,1,10,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset ACM --n-fp-layers 2 --n-task-layers 1 --num-hops 4 --num-label-hops 4 --label-feats --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\ACM\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval --seeds 1,109.3980379,,outputs\gate21_17_smoke\training_logs\stdout\ACM_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.stderr,,25,0.966851,0.967076,0.9395659999999999,0.9402370000000001,0.9395659999999999,False,ce,True,True,,
IMDB,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,1.0,outputs\gate21_17_smoke\exports\IMDB\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,940bb678e401aa999e22ad5712e0a3c6d4b10e9fac736beb0093c41d1c98ad6e,1,1,11,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset IMDB --n-fp-layers 2 --n-task-layers 4 --num-hops 4 --num-label-hops 4 --label-feats --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0. --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\IMDB\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval --seeds 1,82.17582089999999,,outputs\gate21_17_smoke\training_logs\stdout\IMDB_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.stderr,,30,0.6915,0.666839,0.6993510000000001,0.67012,,True,bce,True,True,,
DBLP,Random-edge-relwise,structural_storage_ratio,0.2,0.973352050915338,outputs\gate21_17_smoke\exports\DBLP\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP,52d4747d5093a24e92f912f28125ce50d963ff3d33b5c22b5cb793085bef26c5,547ca953da27970555231a79cdf6df4108415b1c9e10a86c6f6681db457e95d6,1,1,12,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset DBLP --n-fp-layers 2 --n-task-layers 3 --num-hops 2 --num-label-hops 4 --label-feats --residual --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\DBLP\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval --seeds 1,28.926359700000006,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,,38,0.7901229999999999,0.7832009999999999,0.785211,0.7811929999999999,0.785211,False,ce,True,True,,
DBLP,Degree-edge-relwise,structural_storage_ratio,0.2,0.9733514448741529,outputs\gate21_17_smoke\exports\DBLP\1\Degree_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP,a8ee7ca10cb29926e83a22fc83d88749f5031ddf733695bfcc5d0f315682b62d,83f4e703207cd1259b1c9ea7ca10cf261bc75aadfc23e953c3a61c10ca72fb22,1,1,13,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset DBLP --n-fp-layers 2 --n-task-layers 3 --num-hops 2 --num-label-hops 4 --label-feats --residual --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\DBLP\1\Degree_edge_relwise\structural_storage_ratio_0p2\official_trainval --seeds 1,29.03981140000002,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Degree-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Degree-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,,67,0.8107,0.804007,0.7859149999999999,0.78125,0.7859149999999999,False,ce,True,True,,
DBLP,Proportional-relation-budget,structural_storage_ratio,0.2,0.9731947453502058,outputs\gate21_17_smoke\exports\DBLP\1\Proportional_relation_budget\structural_storage_ratio_0p2\official_trainval\DBLP,1f258538b0ece5ea8c89cbc718c71747acfbd897c88c37715d6cde5309031996,3626a28b2e10ce0658ce2df206397d3ba26b2c123a10545c1bb6af4f57ac6421,1,1,14,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset DBLP --n-fp-layers 2 --n-task-layers 3 --num-hops 2 --num-label-hops 4 --label-feats --residual --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\DBLP\1\Proportional_relation_budget\structural_storage_ratio_0p2\official_trainval --seeds 1,28.103020800000024,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Proportional-relation-budget_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Proportional-relation-budget_structural_storage_ratio_0p2_g1_t1.stderr,,60,0.773663,0.7668729999999999,0.796831,0.7913209999999999,0.796831,False,ce,True,True,,
ACM,Random-edge-relwise,structural_storage_ratio,0.2,1.0,outputs\gate21_17_smoke\exports\ACM\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\ACM,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,2dd34fc5bb1fca04e54a2a9f1ad8122826db84e15cb2e9da329ba8c4dc489c94,1,1,15,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset ACM --n-fp-layers 2 --n-task-layers 1 --num-hops 4 --num-label-hops 4 --label-feats --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\ACM\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval --seeds 1,109.27473420000001,,outputs\gate21_17_smoke\training_logs\stdout\ACM_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,,25,0.966851,0.967076,0.9395659999999999,0.9402370000000001,0.9395659999999999,False,ce,True,True,,
IMDB,Random-edge-relwise,structural_storage_ratio,0.2,1.0,outputs\gate21_17_smoke\exports\IMDB\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\IMDB,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,b40f710763d5ef9e781f233b1fefcae463b24a8160f275db2ec86b62cadd798b,1,1,16,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset IMDB --n-fp-layers 2 --n-task-layers 4 --num-hops 4 --num-label-hops 4 --label-feats --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0. --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\IMDB\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval --seeds 1,89.13831149999999,,outputs\gate21_17_smoke\training_logs\stdout\IMDB_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,,30,0.6915,0.666839,0.6993510000000001,0.67012,,True,bce,True,True,,
DBLP,Herding-HG-TP,support_node_ratio,0.5,0.511910701649485,outputs\gate21_17_smoke\exports\DBLP\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\DBLP,647bad335b94dab46873a6699551fdc1357fc6eb7333a91a1d1c3f5ef03cc314,63f2ac1c75906fb2952e380d523a04669a7147dbdc6da1897f09145eba40fabc,1,1,17,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset DBLP --n-fp-layers 2 --n-task-layers 3 --num-hops 2 --num-label-hops 4 --label-feats --residual --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\DBLP\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval --seeds 1,26.78514800000005,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Herding-HG-TP_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Herding-HG-TP_support_node_ratio_0p5_g1_t1.stderr,,37,0.860082,0.856201,0.870775,0.867442,0.870775,False,ce,True,True,,
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.2,0.48523595039340783,outputs\gate21_17_smoke\exports\DBLP\1\FreeHGC_score_TP\structural_storage_ratio_0p2\official_trainval\DBLP,babd368aebf30b77ce8c28332b72719655c28e856fdbf0ef064a7267c425264b,0a9de59a99ccdcd6d36911a33fe81a00cf8b1853c6399c37b40a0893aeb0eddb,1,1,18,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset DBLP --n-fp-layers 2 --n-task-layers 3 --num-hops 2 --num-label-hops 4 --label-feats --residual --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\DBLP\1\FreeHGC_score_TP\structural_storage_ratio_0p2\official_trainval --seeds 1,30.75444099999993,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_FreeHGC-score-TP_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_FreeHGC-score-TP_structural_storage_ratio_0p2_g1_t1.stderr,,46,0.802469,0.796887,0.780282,0.775069,0.780282,False,ce,True,True,,
ACM,Herding-HG-TP,support_node_ratio,0.5,1.0,outputs\gate21_17_smoke\exports\ACM\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\ACM,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,a2c98a7f273fe8cd25bc1b386d985c69e9b810e3f79fb7f3e3459c532ccaa4b0,1,1,19,True,True,True,True,True,True,,True,,,1,success,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset ACM --n-fp-layers 2 --n-task-layers 1 --num-hops 4 --num-label-hops 4 --label-feats --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_17_smoke\exports\ACM\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval --seeds 1,121.33351230000005,,outputs\gate21_17_smoke\training_logs\stdout\ACM_Herding-HG-TP_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_Herding-HG-TP_support_node_ratio_0p5_g1_t1.stderr,,25,0.966851,0.967076,0.9395659999999999,0.9402370000000001,0.9395659999999999,False,ce,True,True,,
