dataset,method,requested_budget_type,requested_budget,actual_support_edge_ratio,semantic_structural_storage_ratio,micro,macro,recovery_micro,recovery_macro,training_executed,budget_match
DBLP,Full-native-SeHGNN,,,1.0,1.0,0.9533802,0.9498198,1.0,1.0,True,False
DBLP,Export-full-SeHGNN,,,1.0,1.0,0.9533802,0.9498198,1.0,1.0,True,False
ACM,Full-native-SeHGNN,,,1.0,1.0,0.9384324,0.93918,1.0,1.0,True,False
ACM,Export-full-SeHGNN,,,1.0,1.0,0.9384324,0.93918,1.0,1.0,True,False
IMDB,Full-native-SeHGNN,,,1.0,1.0,0.697974,0.6712752,1.0,1.0,True,False
IMDB,Export-full-SeHGNN,,,1.0,1.0,0.697974,0.6712752,1.0,1.0,True,False
DBLP,HeSF-RCS-auto structural12,structural_storage_ratio,0.12,0.08797575615905429,0.11951718894668302,0.9447888000000001,0.9405382,0.9909884849716829,0.9902280411505424,True,True
DBLP,HeSF-RCS-auto structural16,structural_storage_ratio,0.16,0.131946937378426,0.15916430179078186,0.9497888,0.946167,0.9962329823925439,0.9961542178842766,True,True
DBLP,Random-edge-relwise,support_edge_ratio,0.2,0.20000751358706995,0.20000751358706995,0.785211,0.7811929999999999,0.8236074128663465,0.8224644295686402,True,True
DBLP,Degree-edge-relwise,support_edge_ratio,0.2,0.2000158620171477,0.2000158620171477,0.7859149999999999,0.78125,0.8243458381032036,0.8225244409518522,True,True
DBLP,Proportional-relation-budget,support_edge_ratio,0.2,0.2000158620171477,0.2000158620171477,0.796831,0.7913209999999999,0.8357956248724275,0.8331275048172295,True,True
DBLP,Herding-HG-TP,support_node_ratio,0.5,0.5664075870532547,0.511910701649485,0.870775,0.867442,0.9133554483300576,0.9132700750184404,True,True
DBLP,FreeHGC-score-TP-local,support_edge_ratio,0.2,0.11327567350959653,0.48523595039340783,0.780282,0.775069,0.8184373873088617,0.8160168907828622,True,True
DBLP,HGCond-score-TP-local,support_node_ratio,0.5,0.5661654825810006,0.5118805814025809,0.874296,0.8713219999999999,0.917048623413828,0.9173550604019836,True,True
DBLP,GCond-score-TP-local,support_node_ratio,0.5,0.5662406184517002,0.5119158908771333,0.867254,0.8634350000000001,0.9096622732462872,0.909051380061776,True,True
ACM,ACM-HeSF-RCS-auto-field30,keyword_feature_ratio,0.3,0.7628497167221541,0.745856137454571,0.9390930000000001,0.939717,1.0007039398895434,1.0005717753785217,True,True
ACM,ACM-HeSF-RCS-auto-field20,keyword_feature_ratio,0.2,0.6830318030488873,0.6603186774066091,0.941926,0.942533,1.0037228041146065,1.003570135650248,True,True
ACM,ACM-Random-field20,keyword_feature_ratio,0.2,0.2378110215524794,0.18319451996917288,0.9249290000000001,0.926032,0.9856106843710852,0.9860005536744819,True,True
ACM,ACM-Degree-field20,keyword_feature_ratio,0.2,0.6830318030488873,0.6603186774066091,0.9414539999999999,0.942075,1.0032198376782386,1.003082476202645,True,True
IMDB,IMDB-HeSF-RCS-auto structural30,structural_storage_ratio,0.3,0.24683179058655155,0.24683179058655155,0.6600050000000001,0.629468,0.9456011255433585,0.9377197310432444,True,True
IMDB,IMDB-HeSF-RCS-auto structural20,structural_storage_ratio,0.2,0.15819117748897762,0.15819117748897762,0.658415,0.62861,0.9433231037259268,0.9364415667374574,True,True
IMDB,IMDB-Random-channel20,channel_edge_ratio,0.2,0.2911059301493502,0.2911059301493502,0.663572,0.627043,0.9507116310922757,0.9341072037221099,True,True
IMDB,IMDB-Degree-channel20,channel_edge_ratio,0.2,0.29112901364234434,0.29112901364234434,0.664435,0.633713,0.951948066833435,0.9440435159827147,True,True
IMDB,IMDB-MDfull-MA50-MK20,channel_edge_ratio,0.5,0.3934812215784492,0.3934812215784492,0.6780750000000001,0.6424120000000001,0.9714903420471251,0.957002433577168,True,True
IMDB,IMDB-MDfull-MA20-MK50,channel_edge_ratio,0.5,0.4546063110269846,0.4546063110269846,0.680686,0.652721,0.975231169069335,0.9723597713724565,True,True
