dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url,stdout_path,stderr_path,export_dir,selection_source,rep_selection_confidence,uses_test_for_selection,eligible_for_decision,source_method,constraint_safe_fallback,eligible_for_compression_claim
ACM,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,0.93,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,593b2e1af3041bd6f80a44b5d83f8327ff740b591f0405382e44e28b3b40cba5,outputs\gate21_17_smoke\exports\ACM\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\ACM\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\ACM_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\ACM,,,,,,True,False
IMDB,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,0.93,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,940bb678e401aa999e22ad5712e0a3c6d4b10e9fac736beb0093c41d1c98ad6e,outputs\gate21_17_smoke\exports\IMDB\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\IMDB_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB,,,,,,True,False
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,3,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,2dd34fc5bb1fca04e54a2a9f1ad8122826db84e15cb2e9da329ba8c4dc489c94,outputs\gate21_17_smoke\exports\ACM\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\ACM\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\ACM_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\ACM,,,,,,True,False
IMDB,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,3,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,b40f710763d5ef9e781f233b1fefcae463b24a8160f275db2ec86b62cadd798b,outputs\gate21_17_smoke\exports\IMDB\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\IMDB\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\IMDB_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\IMDB,,,,,,True,False
ACM,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,1.0,1.0,1.0,1.0,3,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,a2c98a7f273fe8cd25bc1b386d985c69e9b810e3f79fb7f3e3459c532ccaa4b0,outputs\gate21_17_smoke\exports\ACM\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\ACM\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\ACM_Herding-HG-TP_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_Herding-HG-TP_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\ACM,,,,,,True,False
IMDB,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,1.0,1.0,1.0,1.0,3,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,218a69cfb278b2937f34f540a58abf805b7dccbba64e94769017c56965349821,outputs\gate21_17_smoke\exports\IMDB\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\IMDB\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\IMDB_Herding-HG-TP_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_Herding-HG-TP_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\IMDB,,,,,,True,False
ACM,HGCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,1.0,1.0,1.0,1.0,,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,14cb3f25b8b35d7faffe35d9dc2ab49a48df7a7c7fecabb71a9bab3dd946e857,outputs\gate21_17_smoke\exports\ACM\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM\gate21_17_export_manifest.json,https://github.com/jianjianGJ/hgcond,outputs\gate21_17_smoke\training_logs\stdout\ACM_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM,,,,,,True,False
ACM,GCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,1.0,1.0,1.0,1.0,,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,9d50b7f0c4471e682fa7af537f70f8ae58598367938b090e09e033eaed3f4153,outputs\gate21_17_smoke\exports\ACM\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM\gate21_17_export_manifest.json,https://github.com/ChandlerBang/GCond,outputs\gate21_17_smoke\training_logs\stdout\ACM_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM,,,,,,True,False
IMDB,HGCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,1.0,1.0,1.0,1.0,,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,c81c799016ae6aae8f4df9a6a4d693be49186640e0c87927be2041b788c516a3,outputs\gate21_17_smoke\exports\IMDB\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB\gate21_17_export_manifest.json,https://github.com/jianjianGJ/hgcond,outputs\gate21_17_smoke\training_logs\stdout\IMDB_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB,,,,,,True,False
IMDB,GCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,1.0,1.0,1.0,1.0,,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,,,,True,True,True,True,True,False,True,constraint_safe_full_fallback,Gate21.17 full-HGB fallback retained only as Gate21.18 loader sanity evidence.,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,f04e37ec1beb74a12ee4dc9c7c2c92d567264ac61a97831a881d44a24c5e0f2f,outputs\gate21_17_smoke\exports\IMDB\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB\gate21_17_export_manifest.json,https://github.com/ChandlerBang/GCond,outputs\gate21_17_smoke\training_logs\stdout\IMDB_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB,,,,,,True,False
