dataset,method,raw_hgb_text_byte_ratio,node_dat_bytes,link_dat_bytes,feature_bytes,static_inference_package_ratio,training_executed,micro,macro
DBLP,Full-native-SeHGNN,1.0,0,0,0,1.0,True,0.9533802,0.9498198
DBLP,Export-full-SeHGNN,1.0,0,0,0,1.0,True,0.9533802,0.9498198
ACM,Full-native-SeHGNN,1.0,0,0,0,1.0,True,0.9384324,0.93918
ACM,Export-full-SeHGNN,1.0,0,0,0,1.0,True,0.9384324,0.93918
IMDB,Full-native-SeHGNN,1.0,0,0,0,1.0,True,0.697974,0.6712752
IMDB,Export-full-SeHGNN,1.0,0,0,0,1.0,True,0.697974,0.6712752
DBLP,HeSF-RCS-auto structural12,0.5300203883188904,0,0,0,0.5300203883188904,True,0.9447888000000001,0.9405382
DBLP,HeSF-RCS-auto structural16,0.5312848976907086,0,0,0,0.5312848976907086,True,0.9497888,0.946167
DBLP,Random-edge-relwise,0.973352050915338,127509920,879484,127202999,0.973352050915338,True,0.785211,0.7811929999999999
DBLP,Degree-edge-relwise,0.9733514448741529,127509920,879404,127202999,0.9733514448741529,True,0.7859149999999999,0.78125
DBLP,Proportional-relation-budget,0.9731947453502058,127509920,858719,127202999,0.9731947453502058,True,0.796831,0.7913209999999999
DBLP,Herding-HG-TP,0.511910701649485,65037823,2435314,64829125,0.511910701649485,True,0.870775,0.867442
DBLP,FreeHGC-score-TP-local,0.48523595039340783,63465387,486570,63268690,0.48523595039340783,True,0.780282,0.775069
DBLP,HGCond-score-TP-local,0.5118805814025809,65034889,2434272,64826268,0.5118805814025809,True,0.874296,0.8713219999999999
DBLP,GCond-score-TP-local,0.5119158908771333,65039246,2434576,64830515,0.5119158908771333,True,0.867254,0.8634350000000001
ACM,ACM-HeSF-RCS-auto-field30,0.9463457221587845,38135589,6138612,34379120,0.9463457221587845,True,0.9390930000000001,0.939717
ACM,ACM-HeSF-RCS-auto-field20,0.9324116870777805,38135589,5486266,34379120,0.9324116870777805,True,0.941926,0.942533
ACM,ACM-Random-field20,0.8562937315596114,38135589,1922672,34379120,0.8562937315596114,True,0.9249290000000001,0.926032
ACM,ACM-Degree-field20,0.9324121997150036,38135589,5486290,34379120,0.9324121997150036,True,0.9414539999999999,0.942075
IMDB,IMDB-HeSF-RCS-auto structural30,0.9950086215692024,185065301,324812,184586805,0.9950086215692024,True,0.6600050000000001,0.629468
IMDB,IMDB-HeSF-RCS-auto structural20,0.9943698626518918,185065301,205534,184586805,0.9943698626518918,True,0.658415,0.62861
IMDB,IMDB-Random-channel20,0.9953320013708484,185065301,385198,184586805,0.9953320013708484,True,0.663572,0.627043
IMDB,IMDB-Degree-channel20,0.9953279528309543,185065301,384442,184586805,0.9953279528309543,True,0.664435,0.633713
IMDB,IMDB-MDfull-MA50-MK20,0.996053776776834,185065301,519978,184586805,0.996053776776834,True,0.6780750000000001,0.6424120000000001
IMDB,IMDB-MDfull-MA20-MK50,0.9965237822693531,185065301,607744,184586805,0.9965237822693531,True,0.680686,0.652721
