dataset,method,status,training_executed,success,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,requested_budget_type,requested_budget,actual_structural_storage_ratio,export_dir,selected_edge_hash,planner_config_hash,graph_seed,training_seed,source_row_id,export_export_dir_exists,export_node_dat_exists,export_link_dat_exists,export_label_dat_exists,export_label_dat_test_exists,export_info_dat_exists,export_missing_required_files,export_export_dir_ready,export_failure_type,export_failure_reason,seed,command,train_time_sec,peak_memory_mb,stdout_path,stderr_path,error_message,best_epoch,test_accuracy_if_single_label,is_multilabel,loss_type,failure_type,failure_reason
DBLP,Full-native-SeHGNN,reused_gate21_17_official_metric,True,True,0.9533802,0.9498198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,Export-full-SeHGNN,reused_gate21_17_official_metric,True,True,0.9533802,0.9498198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,Full-native-SeHGNN,reused_gate21_17_official_metric,True,True,0.9384324,0.93918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,Export-full-SeHGNN,reused_gate21_17_official_metric,True,True,0.9384324,0.93918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMDB,Full-native-SeHGNN,reused_gate21_17_official_metric,True,True,0.697974,0.6712752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMDB,Export-full-SeHGNN,reused_gate21_17_official_metric,True,True,0.697974,0.6712752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,HeSF-RCS-auto structural12,reused_gate21_17_official_metric,True,True,0.9447888000000001,0.9405382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBLP,HeSF-RCS-auto structural16,reused_gate21_17_official_metric,True,True,0.9497888,0.946167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,ACM-HeSF-RCS-auto-field30,success,True,True,0.9390930000000001,0.939717,0.961326,0.9612850000000001,keyword_feature_ratio,0.3,,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field30\keyword_feature_ratio_0p3\official_trainval\ACM,ce1167831fa00db54c6a13136d5fdd3afeb1ed4a3858e0d012601af5c64f7cdf,af3d069d4c0f6e2ad0808ae1bc20295beb0f80de5b6529a90cf7fa8941605283,1,1,15,True,True,True,True,True,True,,True,,,1,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset ACM --n-fp-layers 2 --n-task-layers 1 --num-hops 4 --num-label-hops 4 --label-feats --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field30\keyword_feature_ratio_0p3\official_trainval --seeds 1,123.7093588,,outputs\gate21_18_smoke\training_logs\stdout\ACM_ACM-HeSF-RCS-auto-field30_keyword_feature_ratio_0p3_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\ACM_ACM-HeSF-RCS-auto-field30_keyword_feature_ratio_0p3_g1_t1.stderr,,30,0.9390930000000001,False,ce,,
ACM,ACM-HeSF-RCS-auto-field20,success,True,True,0.941926,0.942533,0.961326,0.9612850000000001,keyword_feature_ratio,0.2,,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field20\keyword_feature_ratio_0p2\official_trainval\ACM,8f4956d8efbccc15243bd6f744bff1482f2e10b6b9a0db16fcbfcdf679dd8b11,fd56bdd1202292ea6c0cb913dfd0a7d5be3e8e0374bca30f097635901aebc64b,1,1,16,True,True,True,True,True,True,,True,,,1,C:\Users\slian\anaconda3\envs\pytorch\python.exe main.py --epoch 200 --dataset ACM --n-fp-layers 2 --n-task-layers 1 --num-hops 4 --num-label-hops 4 --label-feats --hidden 512 --embed-size 512 --dropout 0.5 --input-drop 0.5 --amp --root D:\HeSF-Coarsen\outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field20\keyword_feature_ratio_0p2\official_trainval --seeds 1,123.64155059999999,,outputs\gate21_18_smoke\training_logs\stdout\ACM_ACM-HeSF-RCS-auto-field20_keyword_feature_ratio_0p2_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\ACM_ACM-HeSF-RCS-auto-field20_keyword_feature_ratio_0p2_g1_t1.stderr,,27,0.941926,False,ce,,
