dataset,requested_budget,selected_plan,actual_structural,budget_slack,validation_metric,test_metric_after_final_run,uses_test_metrics_for_selection,selection_input_hash
ACM,0.1,HeSF-RCS-auto-structural10,NaN,NaN,NaN,NaN,False,3e8f996fd3c86cf4eb6c0c908a22a06bc0eeaa63de946e39c4d8f84d8e66caf3
ACM,0.12,HeSF-RCS-auto-structural12,NaN,NaN,NaN,NaN,False,d4a9b989dae5cf19782f81c03ad8fdb2987446a31ac6343457fac6d35a366837
ACM,0.16,HeSF-RCS-auto-structural16,NaN,NaN,NaN,NaN,False,08f5616d493cb6373b3e1dc89974f6ed2ccfce947d04dda78481c6f71fd6082f
ACM,0.2,HeSF-RCS-auto-structural20,NaN,NaN,NaN,NaN,False,6a11fca1e76b5e5eb411693f501ff729ef5c2736c43b83bde6f13b5a7bbc279a
ACM,0.3,HeSF-RCS-auto-structural30,NaN,NaN,NaN,NaN,False,ba65c321d8773fca18be1048b93e3bdbad8974921eeaad3b70ffb14a20f607bc
ACM,0.5,HeSF-RCS-auto-structural50,NaN,NaN,NaN,NaN,False,47a4f58c3950f180d7e0a992dc78e226d114b2550c8108d7478dfc2ac076d849
IMDB,0.1,HeSF-RCS-auto-structural10,NaN,NaN,NaN,NaN,False,c2db87b7ea70de88d25199d64daf551e82081762a66ad28b3df3e45312fb9da3
IMDB,0.12,HeSF-RCS-auto-structural12,NaN,NaN,NaN,NaN,False,bc1a76d66698ef285e5b0270d09c468eb271707b6f6a1de357eb972e0d4fd646
IMDB,0.16,HeSF-RCS-auto-structural16,NaN,NaN,NaN,NaN,False,3daec83a9f205884b26345e12a009fa9dedad1d4afdcf16cde9429d8281126e5
IMDB,0.2,HeSF-RCS-auto-structural20,NaN,NaN,NaN,NaN,False,9921a5d88be0dece2d7af5a5e649b6aec426111afede731097751b4b3d826f5e
IMDB,0.3,HeSF-RCS-auto-structural30,NaN,NaN,NaN,NaN,False,acb3fb4e47057bc1f09aac983dca03bd302c9b8b9d9edc9c12d3e275626e59e8
IMDB,0.5,HeSF-RCS-auto-structural50,NaN,NaN,NaN,NaN,False,b4add31c8e10f139c04613b88efcbab592fd3834901786935c898b4f7caf942e
