dataset,base_method,feature_transform,label_graph_setting,shape_safe_pass,official_vs_adapter_separated
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,raw,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,zero-paper,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,H6-APV-skeleton,paper-pca64,default,True,True
DBLP,full/export-full,raw,default,True,True
DBLP,full/export-full,raw,no_label_feats,True,True
DBLP,full/export-full,raw,num_feature_hops_0,True,True
DBLP,full/export-full,raw,num_label_hops_0,True,True
DBLP,full/export-full,raw,feature_only_mlp_adapter,True,True
DBLP,full/export-full,zero-paper,default,True,True
DBLP,full/export-full,zero-paper,no_label_feats,True,True
DBLP,full/export-full,zero-paper,num_feature_hops_0,True,True
DBLP,full/export-full,zero-paper,num_label_hops_0,True,True
DBLP,full/export-full,zero-paper,feature_only_mlp_adapter,True,True
DBLP,full/export-full,zero-term,default,True,True
DBLP,full/export-full,zero-term,no_label_feats,True,True
DBLP,full/export-full,zero-term,num_feature_hops_0,True,True
DBLP,full/export-full,zero-term,num_label_hops_0,True,True
DBLP,full/export-full,zero-term,feature_only_mlp_adapter,True,True
DBLP,full/export-full,zero-all-support,default,True,True
DBLP,full/export-full,zero-all-support,no_label_feats,True,True
DBLP,full/export-full,zero-all-support,num_feature_hops_0,True,True
DBLP,full/export-full,zero-all-support,num_label_hops_0,True,True
DBLP,full/export-full,zero-all-support,feature_only_mlp_adapter,True,True
DBLP,full/export-full,paper-only,default,True,True
DBLP,full/export-full,paper-only,no_label_feats,True,True
DBLP,full/export-full,paper-only,num_feature_hops_0,True,True
DBLP,full/export-full,paper-only,num_label_hops_0,True,True
DBLP,full/export-full,paper-only,feature_only_mlp_adapter,True,True
DBLP,full/export-full,term-only,default,True,True
DBLP,full/export-full,term-only,no_label_feats,True,True
DBLP,full/export-full,term-only,num_feature_hops_0,True,True
DBLP,full/export-full,term-only,num_label_hops_0,True,True
DBLP,full/export-full,term-only,feature_only_mlp_adapter,True,True
DBLP,full/export-full,paper-RP64,default,True,True
DBLP,full/export-full,paper-RP64,no_label_feats,True,True
DBLP,full/export-full,paper-RP64,num_feature_hops_0,True,True
DBLP,full/export-full,paper-RP64,num_label_hops_0,True,True
DBLP,full/export-full,paper-RP64,feature_only_mlp_adapter,True,True
DBLP,full/export-full,paper-pca64,default,True,True
DBLP,full/export-full,paper-pca64,no_label_feats,True,True
DBLP,full/export-full,paper-pca64,num_feature_hops_0,True,True
DBLP,full/export-full,paper-pca64,num_label_hops_0,True,True
DBLP,full/export-full,paper-pca64,feature_only_mlp_adapter,True,True
DBLP,H6-node30,raw,default,True,True
DBLP,H6-node30,raw,no_label_feats,True,True
DBLP,H6-node30,raw,num_feature_hops_0,True,True
DBLP,H6-node30,raw,num_label_hops_0,True,True
DBLP,H6-node30,raw,feature_only_mlp_adapter,True,True
DBLP,H6-node30,zero-paper,default,True,True
DBLP,H6-node30,zero-paper,no_label_feats,True,True
DBLP,H6-node30,zero-paper,num_feature_hops_0,True,True
DBLP,H6-node30,zero-paper,num_label_hops_0,True,True
DBLP,H6-node30,zero-paper,feature_only_mlp_adapter,True,True
DBLP,H6-node30,zero-term,default,True,True
DBLP,H6-node30,zero-term,no_label_feats,True,True
DBLP,H6-node30,zero-term,num_feature_hops_0,True,True
DBLP,H6-node30,zero-term,num_label_hops_0,True,True
DBLP,H6-node30,zero-term,feature_only_mlp_adapter,True,True
DBLP,H6-node30,zero-all-support,default,True,True
DBLP,H6-node30,zero-all-support,no_label_feats,True,True
DBLP,H6-node30,zero-all-support,num_feature_hops_0,True,True
DBLP,H6-node30,zero-all-support,num_label_hops_0,True,True
DBLP,H6-node30,zero-all-support,feature_only_mlp_adapter,True,True
DBLP,H6-node30,paper-only,default,True,True
DBLP,H6-node30,paper-only,no_label_feats,True,True
DBLP,H6-node30,paper-only,num_feature_hops_0,True,True
DBLP,H6-node30,paper-only,num_label_hops_0,True,True
DBLP,H6-node30,paper-only,feature_only_mlp_adapter,True,True
DBLP,H6-node30,term-only,default,True,True
DBLP,H6-node30,term-only,no_label_feats,True,True
DBLP,H6-node30,term-only,num_feature_hops_0,True,True
DBLP,H6-node30,term-only,num_label_hops_0,True,True
DBLP,H6-node30,term-only,feature_only_mlp_adapter,True,True
DBLP,H6-node30,paper-RP64,default,True,True
DBLP,H6-node30,paper-RP64,no_label_feats,True,True
DBLP,H6-node30,paper-RP64,num_feature_hops_0,True,True
DBLP,H6-node30,paper-RP64,num_label_hops_0,True,True
DBLP,H6-node30,paper-RP64,feature_only_mlp_adapter,True,True
DBLP,H6-node30,paper-pca64,default,True,True
DBLP,H6-node30,paper-pca64,no_label_feats,True,True
DBLP,H6-node30,paper-pca64,num_feature_hops_0,True,True
DBLP,H6-node30,paper-pca64,num_label_hops_0,True,True
DBLP,H6-node30,paper-pca64,feature_only_mlp_adapter,True,True
DBLP,H6-APV-skeleton,raw,no_label_feats,True,True
DBLP,H6-APV-skeleton,raw,num_feature_hops_0,True,True
DBLP,H6-APV-skeleton,raw,num_label_hops_0,True,True
DBLP,H6-APV-skeleton,raw,feature_only_mlp_adapter,True,True
DBLP,H6-APV-skeleton,zero-paper,no_label_feats,True,True
DBLP,H6-APV-skeleton,zero-paper,num_feature_hops_0,True,True
DBLP,H6-APV-skeleton,zero-paper,num_label_hops_0,True,True
DBLP,H6-APV-skeleton,zero-paper,feature_only_mlp_adapter,True,True
DBLP,H6-APV-skeleton,zero-term,default,True,True
DBLP,H6-APV-skeleton,zero-term,no_label_feats,True,True
DBLP,H6-APV-skeleton,zero-term,num_feature_hops_0,True,True
DBLP,H6-APV-skeleton,zero-term,num_label_hops_0,True,True
DBLP,H6-APV-skeleton,zero-term,feature_only_mlp_adapter,True,True
DBLP,H6-APV-skeleton,zero-all-support,default,True,True
DBLP,H6-APV-skeleton,zero-all-support,no_label_feats,True,True
DBLP,H6-APV-skeleton,zero-all-support,num_feature_hops_0,True,True
DBLP,H6-APV-skeleton,zero-all-support,num_label_hops_0,True,True
DBLP,H6-APV-skeleton,zero-all-support,feature_only_mlp_adapter,True,True
DBLP,H6-APV-skeleton,paper-only,default,True,True
DBLP,H6-APV-skeleton,paper-only,no_label_feats,True,True
DBLP,H6-APV-skeleton,paper-only,num_feature_hops_0,True,True
DBLP,H6-APV-skeleton,paper-only,num_label_hops_0,True,True
DBLP,H6-APV-skeleton,paper-only,feature_only_mlp_adapter,True,True
DBLP,H6-APV-skeleton,term-only,default,True,True
DBLP,H6-APV-skeleton,term-only,no_label_feats,True,True
DBLP,H6-APV-skeleton,term-only,num_feature_hops_0,True,True
DBLP,H6-APV-skeleton,term-only,num_label_hops_0,True,True
DBLP,H6-APV-skeleton,term-only,feature_only_mlp_adapter,True,True
DBLP,H6-APV-skeleton,paper-RP64,default,True,True
DBLP,H6-APV-skeleton,paper-RP64,no_label_feats,True,True
DBLP,H6-APV-skeleton,paper-RP64,num_feature_hops_0,True,True
DBLP,H6-APV-skeleton,paper-RP64,num_label_hops_0,True,True
DBLP,H6-APV-skeleton,paper-RP64,feature_only_mlp_adapter,True,True
DBLP,H6-APV-skeleton,paper-pca64,no_label_feats,True,True
DBLP,H6-APV-skeleton,paper-pca64,num_feature_hops_0,True,True
DBLP,H6-APV-skeleton,paper-pca64,num_label_hops_0,True,True
DBLP,H6-APV-skeleton,paper-pca64,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV12,raw,default,True,True
DBLP,HeSF-RCS-APV12,raw,no_label_feats,True,True
DBLP,HeSF-RCS-APV12,raw,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV12,raw,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV12,raw,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV12,zero-paper,default,True,True
DBLP,HeSF-RCS-APV12,zero-paper,no_label_feats,True,True
DBLP,HeSF-RCS-APV12,zero-paper,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV12,zero-paper,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV12,zero-paper,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV12,zero-term,default,True,True
DBLP,HeSF-RCS-APV12,zero-term,no_label_feats,True,True
DBLP,HeSF-RCS-APV12,zero-term,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV12,zero-term,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV12,zero-term,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV12,zero-all-support,default,True,True
DBLP,HeSF-RCS-APV12,zero-all-support,no_label_feats,True,True
DBLP,HeSF-RCS-APV12,zero-all-support,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV12,zero-all-support,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV12,zero-all-support,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV12,paper-only,default,True,True
DBLP,HeSF-RCS-APV12,paper-only,no_label_feats,True,True
DBLP,HeSF-RCS-APV12,paper-only,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV12,paper-only,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV12,paper-only,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV12,term-only,default,True,True
DBLP,HeSF-RCS-APV12,term-only,no_label_feats,True,True
DBLP,HeSF-RCS-APV12,term-only,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV12,term-only,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV12,term-only,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV12,paper-RP64,default,True,True
DBLP,HeSF-RCS-APV12,paper-RP64,no_label_feats,True,True
DBLP,HeSF-RCS-APV12,paper-RP64,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV12,paper-RP64,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV12,paper-RP64,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV12,paper-pca64,default,True,True
DBLP,HeSF-RCS-APV12,paper-pca64,no_label_feats,True,True
DBLP,HeSF-RCS-APV12,paper-pca64,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV12,paper-pca64,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV12,paper-pca64,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV16,raw,default,True,True
DBLP,HeSF-RCS-APV16,raw,no_label_feats,True,True
DBLP,HeSF-RCS-APV16,raw,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV16,raw,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV16,raw,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV16,zero-paper,default,True,True
DBLP,HeSF-RCS-APV16,zero-paper,no_label_feats,True,True
DBLP,HeSF-RCS-APV16,zero-paper,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV16,zero-paper,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV16,zero-paper,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV16,zero-term,default,True,True
DBLP,HeSF-RCS-APV16,zero-term,no_label_feats,True,True
DBLP,HeSF-RCS-APV16,zero-term,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV16,zero-term,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV16,zero-term,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV16,zero-all-support,default,True,True
DBLP,HeSF-RCS-APV16,zero-all-support,no_label_feats,True,True
DBLP,HeSF-RCS-APV16,zero-all-support,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV16,zero-all-support,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV16,zero-all-support,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV16,paper-only,default,True,True
DBLP,HeSF-RCS-APV16,paper-only,no_label_feats,True,True
DBLP,HeSF-RCS-APV16,paper-only,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV16,paper-only,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV16,paper-only,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV16,term-only,default,True,True
DBLP,HeSF-RCS-APV16,term-only,no_label_feats,True,True
DBLP,HeSF-RCS-APV16,term-only,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV16,term-only,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV16,term-only,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV16,paper-RP64,default,True,True
DBLP,HeSF-RCS-APV16,paper-RP64,no_label_feats,True,True
DBLP,HeSF-RCS-APV16,paper-RP64,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV16,paper-RP64,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV16,paper-RP64,feature_only_mlp_adapter,True,True
DBLP,HeSF-RCS-APV16,paper-pca64,default,True,True
DBLP,HeSF-RCS-APV16,paper-pca64,no_label_feats,True,True
DBLP,HeSF-RCS-APV16,paper-pca64,num_feature_hops_0,True,True
DBLP,HeSF-RCS-APV16,paper-pca64,num_label_hops_0,True,True
DBLP,HeSF-RCS-APV16,paper-pca64,feature_only_mlp_adapter,True,True
