dataset,artifact_method,protocol,artifact_bytes,ratio_vs_original_native_full_hgb_text,ratio_vs_export_full_hgb_text,ratio_vs_current_control_artifact,compression_time_seconds,export_time_seconds,load_time_seconds,decompress_time_seconds,adapter_load_time_seconds,official_sehgnn_preprocess_time_seconds,training_time_seconds,eval_time_seconds,total_workload_time_seconds,peak_cpu_rss_mb,peak_gpu_memory_mb,preprocessed_cache_bytes,cache_file_count,training_executed,task_micro_f1,task_macro_f1,loader_supported,official_sehgnn_unmodified,uses_adapter,failure_type,failure_message,method,artifact_type,test_micro_f1,test_macro_f1,success,failure_reason,graph_seed,training_seed,official_hgb_text_artifact,uses_loader_adapter,uses_feature_adapter,archive_only_compression,workload_graph_reduced,official_preprocess_time_seconds,method_family,protocol_family,schema_compatible,target_preserving,official_hgb_exported,uses_adapter_loader,uses_synthetic_nodes,uses_weighted_superedges,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligible_for_decision,diagnostic_only,uses_test_metrics_for_selection,uses_test_labels_for_selection,selection_signal_source,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,preprocessed_cache_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio,disk_bytes_vs_workload_cost_tradeoff
DBLP,,,70302405.0,,,,,,0.0014628999999999337,,,,,,0.0014628999999999337,,,,,False,,,True,,,,,,storage_artifact,NaN,NaN,False,Gate21.10 storage row did not contain complete end-to-end task workload metrics.,,,,,,,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,,1693951.0,,,,,,0.0016173000000003768,,,,,,0.0016173000000003768,,,,,False,,,False,,,,,,storage_artifact,NaN,NaN,False,Gate21.10 storage row did not contain complete end-to-end task workload metrics.,,,,,,,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,,505752.0,,,,,,0.001757399999999798,,,,,,0.001757399999999798,,,,,False,,,False,,,,,,storage_artifact,NaN,NaN,False,Gate21.10 storage row did not contain complete end-to-end task workload metrics.,,,,,,,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,,33828712.0,,,,,,0.0013167000000002815,,,,,,0.0013167000000002815,,,,,False,,,False,,,,,,storage_artifact,NaN,NaN,False,Gate21.10 storage row did not contain complete end-to-end task workload metrics.,,,,,,,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,,17167232.0,,,,,,0.001330700000000462,,,,,,0.001330700000000462,,,,,False,,,False,,,,,,storage_artifact,NaN,NaN,False,Gate21.10 storage row did not contain complete end-to-end task workload metrics.,,,,,,,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,,69968460.0,,,,,,0.0014877000000002027,,,,,,0.0014877000000002027,,,,,False,,,True,,,,,,storage_artifact,NaN,NaN,False,Gate21.10 storage row did not contain complete end-to-end task workload metrics.,,,,,,,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,,70135389.0,,,,,,0.0014098000000002386,,,,,,0.0014098000000002386,,,,,False,,,True,,,,,,storage_artifact,NaN,NaN,False,Gate21.10 storage row did not contain complete end-to-end task workload metrics.,,,,,,,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,,missing_end_to_end_system_cost,,raw HGB text,not_measured,NaN,NaN,False,Gate21.11 end-to-end preprocess/train/memory/cache measurement is missing.,1,1,True,False,False,False,False,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,,missing_end_to_end_system_cost,,export-full HGB text,not_measured,NaN,NaN,False,Gate21.11 end-to-end preprocess/train/memory/cache measurement is missing.,1,1,True,False,False,False,False,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,,missing_end_to_end_system_cost,,gzip HGB text,not_measured,NaN,NaN,False,Gate21.11 end-to-end preprocess/train/memory/cache measurement is missing.,1,1,True,True,False,True,False,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,,missing_end_to_end_system_cost,,binary CSR relation tables,not_measured,NaN,NaN,False,Gate21.11 end-to-end preprocess/train/memory/cache measurement is missing.,1,1,False,True,False,False,False,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,,missing_end_to_end_system_cost,,APV12 official text,not_measured,NaN,NaN,False,Gate21.11 end-to-end preprocess/train/memory/cache measurement is missing.,1,1,True,False,False,False,True,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,,missing_end_to_end_system_cost,,APV16 official text,not_measured,NaN,NaN,False,Gate21.11 end-to-end preprocess/train/memory/cache measurement is missing.,1,1,True,False,False,False,True,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,False,,missing_end_to_end_system_cost,,APV12 + RP64 adapter,not_measured,NaN,NaN,False,Gate21.11 end-to-end preprocess/train/memory/cache measurement is missing.,1,1,False,False,True,False,True,,system_cost,storage_only,True,True,False,True,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,False,True,runtime_limited_system_cost_not_measured,,binary CSR + int8 features,,NaN,NaN,False,Gate21.12 local run did not measure end-to-end preprocess/train/memory/cache for this method.,1,1,,,,False,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,False,runtime_limited_system_cost_not_measured,,HeSF-RCS-APV12 official text,,NaN,NaN,False,Gate21.12 local run did not measure end-to-end preprocess/train/memory/cache for this method.,1,1,,,,False,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,False,runtime_limited_system_cost_not_measured,,HeSF-RCS-APV16 official text,,NaN,NaN,False,Gate21.12 local run did not measure end-to-end preprocess/train/memory/cache for this method.,1,1,,,,False,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,False,True,runtime_limited_system_cost_not_measured,,HeSF-RCS-APV12 + RP64 adapter,,NaN,NaN,False,Gate21.12 local run did not measure end-to-end preprocess/train/memory/cache for this method.,1,1,,,,False,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,schema_preserving_tp,,,,,,,,,,,,,,,,,,False,,,,True,False,runtime_limited_system_cost_not_measured,,best external TP baseline,,NaN,NaN,False,Gate21.12 local run did not measure end-to-end preprocess/train/memory/cache for this method.,1,1,,,,False,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,standard_condensation,,,,,,,,,,,,,,,,,,False,,,,True,False,runtime_limited_system_cost_not_measured,,FreeHGC-standard,,NaN,NaN,False,Gate21.12 local run did not measure end-to-end preprocess/train/memory/cache for this method.,1,1,,,,False,,,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,
DBLP,,,,,,,,,,,,,NaN,,,NaN,NaN,NaN,,False,,,,False,,missing_end_to_end_system_cost,,full/export-full,,NaN,NaN,False,Required Gate21.13 system workload row has not been executed.,,,,,,,,NaN,system_cost,storage_only,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,,"gzip may be smaller on disk; HeSF ratios are workload/schema-preserving physical plans, not archive-only compression claims."
