dataset,method,ratio,reduction_rate,seed,official_hgb_exported,official_sehgnn_unmodified,training_executed,success,test_micro_f1,test_macro_f1,failure_type,failure_reason,method_family,protocol_family,schema_compatible,target_preserving,uses_adapter_loader,uses_synthetic_nodes,uses_weighted_superedges,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligible_for_decision,diagnostic_only,uses_test_metrics_for_selection,uses_test_labels_for_selection,selection_signal_source,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,preprocessed_cache_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio
DBLP,FreeHGC-standard-ratio0.012,0.012,0.012,1,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.012,0.012,0.012,2,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.012,0.012,0.012,3,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.012,0.012,0.012,4,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.012,0.012,0.012,5,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.024,0.024,0.024,1,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.024,0.024,0.024,2,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.024,0.024,0.024,3,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.024,0.024,0.024,4,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
DBLP,FreeHGC-standard-ratio0.024,0.024,0.024,5,False,False,False,False,NaN,NaN,freehgc_hgb_hard_failure,freehgc_hgb_required_files_missing_and_hardcoded_linux_data_path,standard_condensation,standard_condensation,True,True,False,False,False,False,False,True,False,True,False,False,False,not_applicable,,,,,,,,
