dataset,method,budget_type,requested_budget,success_count,expected_success_count,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,actual_structural_storage_ratio_mean,actual_structural_storage_ratio_std,budget_match_rate,budget_infeasible_count,budget_fairness_pass
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.120,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.160,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.200,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.300,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,Coarsening-HG-TP,support_node_ratio,0.300,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,Coarsening-HG-TP,support_node_ratio,0.500,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-selection,structural_storage_ratio,0.120,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-selection,structural_storage_ratio,0.160,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-selection,structural_storage_ratio,0.200,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-selection,structural_storage_ratio,0.300,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-selection,support_node_ratio,0.300,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-selection,support_node_ratio,0.500,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-synthetic-support,structural_storage_ratio,0.120,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-synthetic-support,structural_storage_ratio,0.160,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-synthetic-support,structural_storage_ratio,0.200,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-synthetic-support,structural_storage_ratio,0.300,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-synthetic-support,support_node_ratio,0.300,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
DBLP,FreeHGC-TP-synthetic-support,support_node_ratio,0.500,0,25,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,False
