dataset,requested_structural_budget,channel_name,source_relation_names,candidate_keep_ratios,selected_keep_ratio,channel_cost_full,channel_cost_selected,validation_probe_delta_remove,validation_probe_delta_add_feedback,feature_redundancy_score,target_reachability_score,class_proxy_purity_score,marginal_utility_per_cost,selection_rank,selected_reason,selection_signal_source,uses_test_metrics_for_selection,uses_test_labels_for_selection,probe_seed,probe_cache_hash,method_family,validation_probe_source
DBLP,0.12,AP,author-paper,"[0.0, 1.0]",1.0,0.06,0.06,0.28,0.03,0.12,0.99,0.94,16.5,1,hard AP reachability bottleneck,train_val_only,False,False,1,59782b812fc7ba0de92368d6b226f59f71aea6bd2fcbac3c72aaaf183028a1e3,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.12,PV,paper-venue,"[0.0, 1.0]",1.0,0.06,0.06,0.11,0.024,0.1,0.98,0.91,15.8,2,hard PV class-proxy bottleneck,train_val_only,False,False,1,d795283f1d8be78149652d47929a13db34f2c2af9df10219cc1533cc3554b65d,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.12,PA,paper-author,"[0.0, 0.5, 1.0]",0.0,0.04,0.0,0.012,0.006,0.35,0.42,0.62,3.1,3,budget-dependent feedback channel,train_val_only,False,False,1,605543df3af149a28aa48f8b551cfcf33d7b3b4121a7b1abffd51e4cfb5edc86,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.12,VP,venue-paper,"[0.0, 0.5, 1.0]",0.0,0.04,0.0,0.01,0.005,0.32,0.38,0.66,3.0,4,budget-dependent feedback channel,train_val_only,False,False,1,0c59e149f2d02ca05326d38a270dc8e9fff72c72b8f6273fa0911723c84b0a9a,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.12,PT,paper-term,"[0.0, 0.05, 1.0]",0.0,0.21,0.0,0.0,-0.001,0.86,0.12,0.18,-2.0,5,suppressed by feature redundancy and near-zero validation delta,train_val_only,False,False,1,4e749c4eca82c3092e48da933dc98b63cd6acf223fbbcff05ee3a8bf074e8aad,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.12,TP,term-paper,"[0.0, 0.05, 1.0]",0.0,0.1,0.0,0.0,-0.001,0.88,0.1,0.16,-2.4,6,suppressed by feature redundancy and near-zero validation delta,train_val_only,False,False,1,c541541c755363710887089369b5b13647ea2cd0ec9e3793b0dd7aec808d1286,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.16,AP,author-paper,"[0.0, 1.0]",1.0,0.06,0.06,0.28,0.03,0.12,0.99,0.94,16.5,1,hard AP reachability bottleneck,train_val_only,False,False,1,1aba47e3b439017adb9b7ad70c1dc6ab8b02559f4da31e01599435fdf0e761ba,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.16,PV,paper-venue,"[0.0, 1.0]",1.0,0.06,0.06,0.11,0.024,0.1,0.98,0.91,15.8,2,hard PV class-proxy bottleneck,train_val_only,False,False,1,7f20f13a94d4576cfe7b53edd10241a042cc8c99866246ac617a012da322e203,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.16,PA,paper-author,"[0.0, 0.5, 1.0]",0.5,0.04,0.02,0.012,0.006,0.35,0.42,0.62,3.1,3,budget-dependent feedback channel,train_val_only,False,False,1,8f203f8b99c80c859f964a939e965ba0d4f0afef0f43701f95e45172e1050dd4,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.16,VP,venue-paper,"[0.0, 0.5, 1.0]",0.5,0.04,0.02,0.01,0.005,0.32,0.38,0.66,3.0,4,budget-dependent feedback channel,train_val_only,False,False,1,c4085034ef38271fad6606dbadf014c3316efa41ae9f6f807503545b56a92c4c,budgeted_relation_channel_physical_planner,train_val_only
