dataset,discovery_mode,objective,uses_test_metrics_for_selection,validation_probe_source,selection_config_hash,selection_input_hash,planner_trace_hash
DBLP,bottleneck_first,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,61d44984eb7ed0d1e2e7cc7a9302cdd3a51747d3e9c86bf2b01eda23040c122a,ef0c24df5e2f323eeee5e8f7de1def37a62117ace61b27f03995238330306f01,9ff21040a5b7fb25e8fa9d6ea7558234a6908971829620c62f99cb6cbd5c94a0
DBLP,feedback_aware,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,4c8fceb5557b8a17ffbbb7ef1142db54a1a52f671af6c19358ae8beaeca278c9,ef0c24df5e2f323eeee5e8f7de1def37a62117ace61b27f03995238330306f01,49bc0cf34df3b2ef86b36265d6464b01a00d4e7972cb2b7459a89236e54a2ec6
DBLP,redundancy_suppressed,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,f88769b45d44a834e218ff63f8d9121334cb4fee17df46e6f19dc2a38adc46c7,ef0c24df5e2f323eeee5e8f7de1def37a62117ace61b27f03995238330306f01,6985d2058d706beda40a4c55c19dc09decd2d0d5dcf29557b413e8f0402e3b8a
DBLP,cost_normalized_validation_delta,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,0ce51c39bb144acf4c20f4729e28c09e6ae34770bd402b10b9df6093f2b13468,ef0c24df5e2f323eeee5e8f7de1def37a62117ace61b27f03995238330306f01,50917d71ef79d0d8d7c7ef3e2d3e5754d53e7d50585c528e6b1dbd6147c87bcb
DBLP,pareto_frontier_search,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,3e9a824330a668448ae544ba3ab182d5f50ef63ff1ec86fb3e4901bd73ae69e6,ef0c24df5e2f323eeee5e8f7de1def37a62117ace61b27f03995238330306f01,d8a45e46ba293ec514a6992d980d1ced462cdbe1894e942cdae9b37ade874f1d
ACM,bottleneck_first,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,98c7389c16a525107f8715f1e2a530bc805f170a14fd611280acef6a8021b7aa,edd06a45ddf33366425a8e5b48164e67d83a39b3c89b026aadf26f8312961358,490670a52799ad92bd378e12ab4bd66e066f4fa06c41515d1dbb106705e99bcb
ACM,feedback_aware,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,459aa79a4c0b2bbd107f4efbb1d892fea68cbbdc2449cc21848058627aefc37f,edd06a45ddf33366425a8e5b48164e67d83a39b3c89b026aadf26f8312961358,4a818a8287cdd055af77c54d40e9b83823bd411614dc2baf6baf26627180734d
ACM,redundancy_suppressed,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,86a0e4ad71fbb8cc4b43c62c355d15a6a7bdc2951e262dcc4d5578b17c02397d,edd06a45ddf33366425a8e5b48164e67d83a39b3c89b026aadf26f8312961358,eed53df156e034f89cfca3c446f79e8e2e9a9a2f11250a6e66fee87d3e1f3781
ACM,cost_normalized_validation_delta,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,2081979dc9973d296286751293bedb4143cf355a4817fdaeb600ec567946fd86,edd06a45ddf33366425a8e5b48164e67d83a39b3c89b026aadf26f8312961358,bbfccbb5143bb4c3280478abc597c51c636c0bdab22cd8a29caf7316fdc04ffd
ACM,pareto_frontier_search,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,92d6c997f1142d5f346799a8e6952871aa419821c3a0f5fcc7a5feb189ebd8ac,edd06a45ddf33366425a8e5b48164e67d83a39b3c89b026aadf26f8312961358,0e381e1cf5bc3aaefbffcc6939ee777a24750016cdc7ae350c77dff55c5f2c12
IMDB,bottleneck_first,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,66e3fb0e09b165558fab5c759ae66a1f172edb2f62a0aabb0786c8e5f4369e0a,83d19832ee70885890db2a1d0f48a7c42157ea78bff597325ec1cd7ca32fe463,1d16d6b200113769bd869d0f9e469dd53ac96b5638782a7d89121f39b460669a
IMDB,feedback_aware,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,3799d522aa95ecd340afd23b7365c89700f3827d40216bef0b085741169b678d,83d19832ee70885890db2a1d0f48a7c42157ea78bff597325ec1cd7ca32fe463,5f477819356824e2b2f3e226c5d9d105cb36e246ee9abaca57bbb13213ec829b
IMDB,redundancy_suppressed,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,2f15c1213ed20fe07fc57970fd6395f4d301b26aca5d71c71b9f83cede883f93,83d19832ee70885890db2a1d0f48a7c42157ea78bff597325ec1cd7ca32fe463,d7e677b46c20071c2d3faf77d3678eafa14b5ff0a18a89d4fa9cf7c6eb61bf5a
IMDB,cost_normalized_validation_delta,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,87edd1f6a57ee0b78d48c7249e2cee65eaa760c4b94401af71d42ed4508e140c,83d19832ee70885890db2a1d0f48a7c42157ea78bff597325ec1cd7ca32fe463,7ec60d624f35e363bf9c52b15bc8af20c4d7b8ae8575446e659346e68943c4ce
IMDB,pareto_frontier_search,validation_delta_remove+alpha*reachability+beta*feedback-gamma*redundancy-lambda*cost,False,train_val_only,83a6822ee38c3bfb9e397749f74f8833738afa791bfc39c26b22db1fb789ae32,83d19832ee70885890db2a1d0f48a7c42157ea78bff597325ec1cd7ca32fe463,bc2f7f9baf3e0ebe3aaab0de20a3f0c4d64392aeef480866acfea416d85fcba8
