base_method,feature_transform,label_graph_setting,row_count,success_count,test_micro_f1_mean,test_macro_f1_mean,answers_ready
H6-APV-skeleton,paper-RP64,default,1,0,NaN,NaN,False
H6-APV-skeleton,paper-RP64,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-APV-skeleton,paper-RP64,no_label_feats,1,0,NaN,NaN,False
H6-APV-skeleton,paper-RP64,num_feature_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,paper-RP64,num_label_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,paper-only,default,1,0,NaN,NaN,False
H6-APV-skeleton,paper-only,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-APV-skeleton,paper-only,no_label_feats,1,0,NaN,NaN,False
H6-APV-skeleton,paper-only,num_feature_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,paper-only,num_label_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,paper-pca64,default,9,9,0.9482394444444443,0.9443579999999999,True
H6-APV-skeleton,paper-pca64,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-APV-skeleton,paper-pca64,no_label_feats,1,0,NaN,NaN,False
H6-APV-skeleton,paper-pca64,num_feature_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,paper-pca64,num_label_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,raw,default,9,9,0.9491393333333333,0.9455236666666667,True
H6-APV-skeleton,raw,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-APV-skeleton,raw,no_label_feats,1,0,NaN,NaN,False
H6-APV-skeleton,raw,num_feature_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,raw,num_label_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,term-only,default,1,0,NaN,NaN,False
H6-APV-skeleton,term-only,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-APV-skeleton,term-only,no_label_feats,1,0,NaN,NaN,False
H6-APV-skeleton,term-only,num_feature_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,term-only,num_label_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,zero-all-support,default,1,0,NaN,NaN,False
H6-APV-skeleton,zero-all-support,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-APV-skeleton,zero-all-support,no_label_feats,1,0,NaN,NaN,False
H6-APV-skeleton,zero-all-support,num_feature_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,zero-all-support,num_label_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,zero-paper,default,9,9,0.9486306666666666,0.9448863333333334,True
H6-APV-skeleton,zero-paper,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-APV-skeleton,zero-paper,no_label_feats,1,0,NaN,NaN,False
H6-APV-skeleton,zero-paper,num_feature_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,zero-paper,num_label_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,zero-term,default,1,0,NaN,NaN,False
H6-APV-skeleton,zero-term,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-APV-skeleton,zero-term,no_label_feats,1,0,NaN,NaN,False
H6-APV-skeleton,zero-term,num_feature_hops_0,1,0,NaN,NaN,False
H6-APV-skeleton,zero-term,num_label_hops_0,1,0,NaN,NaN,False
H6-node30,paper-RP64,default,1,0,NaN,NaN,False
H6-node30,paper-RP64,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-node30,paper-RP64,no_label_feats,1,0,NaN,NaN,False
H6-node30,paper-RP64,num_feature_hops_0,1,0,NaN,NaN,False
H6-node30,paper-RP64,num_label_hops_0,1,0,NaN,NaN,False
H6-node30,paper-only,default,1,0,NaN,NaN,False
H6-node30,paper-only,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-node30,paper-only,no_label_feats,1,0,NaN,NaN,False
H6-node30,paper-only,num_feature_hops_0,1,0,NaN,NaN,False
H6-node30,paper-only,num_label_hops_0,1,0,NaN,NaN,False
H6-node30,paper-pca64,default,1,0,NaN,NaN,False
H6-node30,paper-pca64,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-node30,paper-pca64,no_label_feats,1,0,NaN,NaN,False
H6-node30,paper-pca64,num_feature_hops_0,1,0,NaN,NaN,False
H6-node30,paper-pca64,num_label_hops_0,1,0,NaN,NaN,False
H6-node30,raw,default,1,0,NaN,NaN,False
H6-node30,raw,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-node30,raw,no_label_feats,1,0,NaN,NaN,False
H6-node30,raw,num_feature_hops_0,1,0,NaN,NaN,False
H6-node30,raw,num_label_hops_0,1,0,NaN,NaN,False
H6-node30,term-only,default,1,0,NaN,NaN,False
H6-node30,term-only,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-node30,term-only,no_label_feats,1,0,NaN,NaN,False
H6-node30,term-only,num_feature_hops_0,1,0,NaN,NaN,False
H6-node30,term-only,num_label_hops_0,1,0,NaN,NaN,False
H6-node30,zero-all-support,default,1,0,NaN,NaN,False
H6-node30,zero-all-support,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-node30,zero-all-support,no_label_feats,1,0,NaN,NaN,False
H6-node30,zero-all-support,num_feature_hops_0,1,0,NaN,NaN,False
H6-node30,zero-all-support,num_label_hops_0,1,0,NaN,NaN,False
H6-node30,zero-paper,default,1,0,NaN,NaN,False
H6-node30,zero-paper,feature_only_mlp_adapter,1,0,NaN,NaN,False
H6-node30,zero-paper,no_label_feats,1,0,NaN,NaN,False
H6-node30,zero-paper,num_feature_hops_0,1,0,NaN,NaN,False
H6-node30,zero-paper,num_label_hops_0,1,0,NaN,NaN,False
H6-node30,zero-term,default,1,0,NaN,NaN,False
