dataset,method,canonical_method,graph_seed,training_seed,export_dir,export_file_list_hash,node_dat_hash,link_dat_hash,label_dat_hash,label_test_dat_hash,info_dat_hash,preprocess_cache_dir,cache_dir_exists_before_run,cache_dir_deleted_before_run,force_reprocess_flag,unique_cache_namespace_flag,cache_files_count_before,cache_files_count_after,cache_hash_before,cache_hash_after,cache_reused_flag,cache_hygiene_pass,sehgnn_generated_feature_cache_keys,sehgnn_generated_label_cache_keys,sehgnn_generated_metapath_keys,notes
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,1,1,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_1\export\DBLP\1\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,63063e3e0cd1feeb8d9e515271f15a4fbd190fc97ab7abe3d4825be907ce5ff5,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,31c23c3f6541dca0315762afc2ac825acd270f0544ed3e3205f0b9bb59b47429,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_1\training_seed_1\export_hash_63063e3e0cd1\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,1,2,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_1\export\DBLP\1\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,63063e3e0cd1feeb8d9e515271f15a4fbd190fc97ab7abe3d4825be907ce5ff5,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,31c23c3f6541dca0315762afc2ac825acd270f0544ed3e3205f0b9bb59b47429,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_1\training_seed_2\export_hash_63063e3e0cd1\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,1,3,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_1\export\DBLP\1\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,63063e3e0cd1feeb8d9e515271f15a4fbd190fc97ab7abe3d4825be907ce5ff5,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,31c23c3f6541dca0315762afc2ac825acd270f0544ed3e3205f0b9bb59b47429,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_1\training_seed_3\export_hash_63063e3e0cd1\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,2,1,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_2\export\DBLP\2\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,bcc61c56170764f3dca4c3e4a2e1b8e40e76cdc9d3e1ba7cdf46e7f53ef14c3a,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,75673718567d4de4b0161b73f22706f05ef7948155ba971d42328bd41722a6fa,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_2\training_seed_1\export_hash_bcc61c561707\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,2,2,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_2\export\DBLP\2\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,bcc61c56170764f3dca4c3e4a2e1b8e40e76cdc9d3e1ba7cdf46e7f53ef14c3a,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,75673718567d4de4b0161b73f22706f05ef7948155ba971d42328bd41722a6fa,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_2\training_seed_2\export_hash_bcc61c561707\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,2,3,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_2\export\DBLP\2\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,bcc61c56170764f3dca4c3e4a2e1b8e40e76cdc9d3e1ba7cdf46e7f53ef14c3a,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,75673718567d4de4b0161b73f22706f05ef7948155ba971d42328bd41722a6fa,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_2\training_seed_3\export_hash_bcc61c561707\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,3,1,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_3\export\DBLP\3\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,1afd9c903b7eae9ebfe89b402b0eb9ad70d683ee9e0bf6810a357db169541317,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,86da34d78c0f6ff5390ba90370a8ff68ca6da72748f3cef7964b89bb75b5b8dd,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_3\training_seed_1\export_hash_1afd9c903b7e\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,3,2,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_3\export\DBLP\3\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,1afd9c903b7eae9ebfe89b402b0eb9ad70d683ee9e0bf6810a357db169541317,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,86da34d78c0f6ff5390ba90370a8ff68ca6da72748f3cef7964b89bb75b5b8dd,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_3\training_seed_2\export_hash_1afd9c903b7e\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,3,3,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_3\export\DBLP\3\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,1afd9c903b7eae9ebfe89b402b0eb9ad70d683ee9e0bf6810a357db169541317,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,86da34d78c0f6ff5390ba90370a8ff68ca6da72748f3cef7964b89bb75b5b8dd,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_3\training_seed_3\export_hash_1afd9c903b7e\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,1,1,results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_1\export\DBLP\1\H6-dir-AP00-PA100-PTTP30-PVVP100\official_trainval\DBLP,95411c563f82fce0ec9dc89bfead87f1a50971a33c757f8afb801edcb939cda1,99348ef388d9cb46ee2698cb024d1a264e920a461de2295a6949f8bbf277a98b,7c02054c3d258e6aa26686be7c88673d4e974fbf4867aec8fd721ccb136b4043,d9a5677b09eb5d7fe6871d7c8acb3c4c3016154810f76a961d172a86808ba5e3,51d192a762f7080114300ecb949b8b6c14a2845f7098a0976b06b588d88593da,,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP00-PA100-PTTP30-PVVP100\graph_seed_1\training_seed_1\export_hash_95411c563f82\cache,False,False,True,True,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,,,,unique namespace prepared; DBLP official path has no reusable Freebase adjacency cache
