dataset,method,canonical_method,method_family,budget_strategy,edge_score_strategy,relation_channel_spec,graph_seed,training_seed,export_hash,run_id,success,status,failed_reason,traceback_path,model_name,schema_compatible,uses_weighted_superedges,official_sehgnn_unmodified,eligible_for_main_decision,cache_hygiene_pass,no_test_label_export_leakage,no_test_label_scoring_leakage,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,validation_micro_f1,validation_macro_f1,test_micro_f1,test_macro_f1,test_accuracy_if_single_label,native_full_test_micro_f1,native_full_test_macro_f1,export_full_test_micro_f1,export_full_test_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro,mapping_bijective,split_disjoint,relation_order_matches_official,node_type_order_matches_official,schema_complete,stdout_path,stderr_path
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,1,1,63063e3e0cd1feeb8d9e515271f15a4fbd190fc97ab7abe3d4825be907ce5ff5,98d0409ab15063a6,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671851875486,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.9176949999999999,0.91542,0.9436620000000001,0.939289,0.9436620000000001,0.953873,0.949979,0.953873,0.949979,0.9892952206425805,0.9887471196731717,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,1,2,63063e3e0cd1feeb8d9e515271f15a4fbd190fc97ab7abe3d4825be907ce5ff5,5d43a51fe5587332,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671851875486,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.950617,0.945848,0.9492959999999999,0.945642,0.9492959999999999,0.954577,0.951351,0.954577,0.951351,0.9944677066386471,0.9939990602837439,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,1,3,63063e3e0cd1feeb8d9e515271f15a4fbd190fc97ab7abe3d4825be907ce5ff5,8976f647fcfb53a2,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671851875486,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.938272,0.9331539999999999,0.947535,0.9432590000000001,0.947535,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.9955598096580969,0.9945908271816735,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,2,1,bcc61c56170764f3dca4c3e4a2e1b8e40e76cdc9d3e1ba7cdf46e7f53ef14c3a,a1b786ac27fbf614,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671548870167,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.921811,0.91912,0.9436620000000001,0.939392,0.9436620000000001,0.953873,0.949979,0.953873,0.949979,0.9892952206425805,0.9888555431225322,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,2,2,bcc61c56170764f3dca4c3e4a2e1b8e40e76cdc9d3e1ba7cdf46e7f53ef14c3a,8f5772eedfaedf29,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671548870167,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.950617,0.945848,0.948592,0.944784,0.948592,0.954577,0.951351,0.954577,0.951351,0.9937302072017239,0.9930971849506649,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,2,3,bcc61c56170764f3dca4c3e4a2e1b8e40e76cdc9d3e1ba7cdf46e7f53ef14c3a,ed4886abd05a8566,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671548870167,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.938272,0.9331539999999999,0.947183,0.942929,0.947183,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.995189968910262,0.994242868696284,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,3,1,1afd9c903b7eae9ebfe89b402b0eb9ad70d683ee9e0bf6810a357db169541317,4af53e6fa754c2f9,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360673442653411,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.921811,0.91912,0.9440139999999999,0.939837,0.9440139999999999,0.953873,0.949979,0.953873,0.949979,0.9896642425144646,0.9893239745299633,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,3,2,1afd9c903b7eae9ebfe89b402b0eb9ad70d683ee9e0bf6810a357db169541317,2e824f228f863a41,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360673442653411,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.950617,0.945848,0.948944,0.945245,0.948944,0.954577,0.951351,0.954577,0.951351,0.9940989569201856,0.9935817589932633,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,3,3,1afd9c903b7eae9ebfe89b402b0eb9ad70d683ee9e0bf6810a357db169541317,1cee09f2ce9a7a0f,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360673442653411,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.938272,0.9331539999999999,0.947183,0.9429420000000001,0.947183,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.995189968910262,0.9942565761517691,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,1,1,95411c563f82fce0ec9dc89bfead87f1a50971a33c757f8afb801edcb939cda1,3d1e22ccda3b1891,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671851875486,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.802469,0.7973600000000001,0.7922539999999999,0.788034,0.7922539999999999,0.953873,0.949979,0.953873,0.949979,0.830565494567935,0.829527810614761,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_1\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_1\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
