run_id,dataset,method,canonical_method,run_group,graph_seed,training_seed,relation_channel_spec,relation_direction_spec,paper_feature_transform,feature_compression_method,sehgnn_command_json,export_dir,cache_dir,output_dir,status
98d0409ab15063a6,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,1,1,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_1\\export\\DBLP\\1\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""1""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 1}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_1\export\DBLP\1\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_1\training_seed_1\export_hash_63063e3e0cd1\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100,success
5d43a51fe5587332,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,1,2,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_1\\export\\DBLP\\1\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""2""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 2}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_1\export\DBLP\1\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_1\training_seed_2\export_hash_63063e3e0cd1\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100,success
8976f647fcfb53a2,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,1,3,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_1\\export\\DBLP\\1\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""3""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 3}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_1\export\DBLP\1\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_1\training_seed_3\export_hash_63063e3e0cd1\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100,success
a1b786ac27fbf614,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,2,1,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_2\\export\\DBLP\\2\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""1""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 1}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_2\export\DBLP\2\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_2\training_seed_1\export_hash_bcc61c561707\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100,success
8f5772eedfaedf29,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,2,2,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_2\\export\\DBLP\\2\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""2""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 2}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_2\export\DBLP\2\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_2\training_seed_2\export_hash_bcc61c561707\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100,success
ed4886abd05a8566,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,2,3,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_2\\export\\DBLP\\2\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""3""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 3}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_2\export\DBLP\2\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_2\training_seed_3\export_hash_bcc61c561707\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100,success
4af53e6fa754c2f9,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,3,1,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_3\\export\\DBLP\\3\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""1""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 1}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_3\export\DBLP\3\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_3\training_seed_1\export_hash_1afd9c903b7e\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_1\H6-dir-AP100-PA00-PTTP30-PVVP100,success
2e824f228f863a41,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,3,2,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_3\\export\\DBLP\\3\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""2""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 2}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_3\export\DBLP\3\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_3\training_seed_2\export_hash_1afd9c903b7e\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_2\H6-dir-AP100-PA00-PTTP30-PVVP100,success
1cee09f2ce9a7a0f,DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,apv_skeleton_validation,3,3,AP100-PA00-PTTP30-PVVP100,AP100-PA00-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_3\\export\\DBLP\\3\\H6-dir-AP100-PA00-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""3""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 3}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_3\export\DBLP\3\H6-dir-AP100-PA00-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP100-PA00-PTTP30-PVVP100\graph_seed_3\training_seed_3\export_hash_1afd9c903b7e\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_3\H6-dir-AP100-PA00-PTTP30-PVVP100,success
3d1e22ccda3b1891,DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,apv_skeleton_validation,1,1,AP00-PA100-PTTP30-PVVP100,AP00-PA100-PTTP30-PVVP100,,,"{""command"": [""C:\\Users\\slian\\anaconda3\\envs\\pytorch\\python.exe"", ""main.py"", ""--epoch"", ""200"", ""--dataset"", ""DBLP"", ""--n-fp-layers"", ""2"", ""--n-task-layers"", ""3"", ""--num-hops"", ""2"", ""--num-label-hops"", ""4"", ""--label-feats"", ""--residual"", ""--hidden"", ""512"", ""--embed-size"", ""512"", ""--dropout"", ""0.5"", ""--input-drop"", ""0.5"", ""--amp"", ""--root"", ""D:\\HeSF-Coarsen\\results\\gate21_4_directionality_ablation\\exports\\DBLP\\graph_seed_1\\export\\DBLP\\1\\H6-dir-AP00-PA100-PTTP30-PVVP100\\official_trainval"", ""--seeds"", ""1""], ""cwd"": ""external\\SeHGNN\\hgb"", ""dataset"": ""DBLP"", ""seed"": 1}",results\gate21_4_directionality_ablation\exports\DBLP\graph_seed_1\export\DBLP\1\H6-dir-AP00-PA100-PTTP30-PVVP100\official_trainval\DBLP,results\gate21_4_directionality_ablation\cache\DBLP\H6-dir-AP00-PA100-PTTP30-PVVP100\graph_seed_1\training_seed_1\export_hash_95411c563f82\cache,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_1\H6-dir-AP00-PA100-PTTP30-PVVP100,success
