dataset,method,canonical_method,relation_channel_spec,edge_score_strategy,graph_seed,training_seed,semantic_structural_storage_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,success,status,failed_reason
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,1,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,1,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,1,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,2,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,2,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,2,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,3,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,3,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,3,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,1,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,1,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,1,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,2,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,2,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,2,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,3,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,3,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,3,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,1,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,1,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,1,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,2,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,2,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,2,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,3,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,3,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,3,3,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_stratified,1,1,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_stratified,1,2,,,,,,False,planned,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_stratified,1,3,,,,,,False,planned,
