dataset,method,relation_channel_spec,edge_score_strategy,graph_seed,num_isolated_target_authors_after_pruning,fraction_target_authors_with_AP_edge,fraction_papers_with_PV_edge,fraction_retained_papers_connected_to_venue,coverage_score_mean,coverage_score_std,hub_penalty_mean,edge_jaccard_across_graph_seeds
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,1,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,2,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-random,AP50-PA00-PV100-VP00-PTTP00,random_edge_within_relation,3,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,1,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,2,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-degree,AP50-PA00-PV100-VP00-PTTP00,degree_within_relation,3,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,1,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,2,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-topk,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_topk,3,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_stratified,1,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_stratified,2,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-pathaware-v2-stratified,AP50-PA00-PV100-VP00-PTTP00,pathaware_v2_stratified,3,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-coverage,AP50-PA00-PV100-VP00-PTTP00,coverage_sampler,1,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-coverage,AP50-PA00-PV100-VP00-PTTP00,coverage_sampler,2,,,,,,,,
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00-coverage,AP50-PA00-PV100-VP00-PTTP00,coverage_sampler,3,,,,,,,,
DBLP,H6-dirskel-AP30-PA00-PV100-VP00-PTTP00-random,AP30-PA00-PV100-VP00-PTTP00,random_edge_within_relation,1,,,,,,,,
