dataset,method,canonical_method,method_family,budget_strategy,edge_score_strategy,relation_channel_spec,graph_seed,training_seed,export_hash,run_id,success,status,failed_reason,traceback_path,model_name,schema_compatible,uses_weighted_superedges,official_sehgnn_unmodified,eligible_for_main_decision,cache_hygiene_pass,no_test_label_export_leakage,no_test_label_scoring_leakage,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,validation_micro_f1,validation_macro_f1,test_micro_f1,test_macro_f1,test_accuracy_if_single_label,native_full_test_micro_f1,native_full_test_macro_f1,export_full_test_micro_f1,export_full_test_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro,mapping_bijective,split_disjoint,relation_order_matches_official,node_type_order_matches_official,schema_complete,stdout_path,stderr_path,deterministic_graph_method,graph_seed_independence_required,graph_seed_independence_status,official_text_hgb_byte_ratio
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP00,1,1,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,624ee1e6aa97ba07,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.11951718894668302,0.5300203883188904,,,0.30003171582619725,0.08797575615905429,0.40871861604409065,0.08797575615905429,0.925926,0.923612,0.944366,0.940067,0.944366,0.953873,0.949979,0.953873,0.949979,0.9900332643863492,0.98956608514504,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_1\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_1\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stderr.log,True,False,not_applicable_deterministic,0.5300203883188904
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP00,1,2,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,c1eba8e48d277d97,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.11951718894668302,0.5300203883188904,,,0.30003171582619725,0.08797575615905429,0.40871861604409065,0.08797575615905429,0.946502,0.942376,0.947887,0.943808,0.947887,0.954577,0.951351,0.954577,0.951351,0.9929916601803731,0.9920712754808688,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_2\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_2\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stderr.log,True,False,not_applicable_deterministic,0.5300203883188904
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP00,1,3,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,3e3c717fca0604a7,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.11951718894668302,0.5300203883188904,,,0.30003171582619725,0.08797575615905429,0.40871861604409065,0.08797575615905429,0.942387,0.937987,0.947183,0.942654,0.947183,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.995189968910262,0.9939529032917928,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_3\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_3\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stderr.log,True,False,not_applicable_deterministic,0.5300203883188904
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP00,1,4,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,134661a47ec9a7a1,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.11951718894668302,0.5300203883188904,,,0.30003171582619725,0.08797575615905429,0.40871861604409065,0.08797575615905429,0.942387,0.940697,0.9390850000000001,0.934622,0.9390850000000001,0.952817,0.94896,0.952817,0.94896,0.9855879985348709,0.9848908278536502,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_4\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_4\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stderr.log,True,False,not_applicable_deterministic,0.5300203883188904
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP00,1,5,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,2b1ed792c04f9641,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.11951718894668302,0.5300203883188904,,,0.30003171582619725,0.08797575615905429,0.40871861604409065,0.08797575615905429,0.950617,0.946817,0.945423,0.9415399999999999,0.945423,0.953873,0.95042,0.953873,0.95042,0.991141378359593,0.9906567622735211,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_5\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_5\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\stderr.log,True,False,not_applicable_deterministic,0.5300203883188904
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP05,1,1,7a8cb7140d383fe244f9d3960f0ed8b2d0e4dd8f02da484acc8785e0354398f6,0c0977ab4230f389,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.14839251168637604,0.5309508419017935,,,0.30003171582619725,0.12000033393720311,0.40871861604409065,0.12000033393720311,0.921811,0.9192529999999999,0.9450700000000001,0.9408610000000001,0.9450700000000001,0.953873,0.949979,0.953873,0.949979,0.990771308130118,0.990401893094479,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_1\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_1\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stderr.log,True,False,not_applicable_deterministic,0.5309508419017935
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP05,1,2,7a8cb7140d383fe244f9d3960f0ed8b2d0e4dd8f02da484acc8785e0354398f6,3f53e8ab45b8c91a,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.14839251168637604,0.5309508419017935,,,0.30003171582619725,0.12000033393720311,0.40871861604409065,0.12000033393720311,0.950617,0.945848,0.948592,0.9445560000000001,0.948592,0.954577,0.951351,0.954577,0.951351,0.9937302072017239,0.9928575257712454,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_2\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_2\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stderr.log,True,False,not_applicable_deterministic,0.5309508419017935
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP05,1,3,7a8cb7140d383fe244f9d3960f0ed8b2d0e4dd8f02da484acc8785e0354398f6,d7da1d5036d3ad94,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.14839251168637604,0.5309508419017935,,,0.30003171582619725,0.12000033393720311,0.40871861604409065,0.12000033393720311,0.942387,0.9372020000000001,0.947535,0.9434560000000001,0.947535,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.9955598096580969,0.9947985478532545,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_3\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_3\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stderr.log,True,False,not_applicable_deterministic,0.5309508419017935
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP05,1,4,7a8cb7140d383fe244f9d3960f0ed8b2d0e4dd8f02da484acc8785e0354398f6,0f9a48404f406248,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.14839251168637604,0.5309508419017935,,,0.30003171582619725,0.12000033393720311,0.40871861604409065,0.12000033393720311,0.942387,0.941861,0.941197,0.936596,0.941197,0.952817,0.94896,0.952817,0.94896,0.987804583671366,0.9869709998313944,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_4\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_4\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stderr.log,True,False,not_applicable_deterministic,0.5309508419017935
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP05,1,5,7a8cb7140d383fe244f9d3960f0ed8b2d0e4dd8f02da484acc8785e0354398f6,5a425f4d24048386,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.14839251168637604,0.5309508419017935,,,0.30003171582619725,0.12000033393720311,0.40871861604409065,0.12000033393720311,0.942387,0.9379730000000001,0.948944,0.9453010000000001,0.948944,0.953873,0.95042,0.953873,0.95042,0.9948326454360277,0.9946139601439363,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_5\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_5\H6-dirskel-AP100-PA00-PV100-VP00-PTTP05\stderr.log,True,False,not_applicable_deterministic,0.5309508419017935
