dataset,method,base_graph_method,feature_compression_method,runs,success_count,training_seed_count,mean_test_micro_f1,std_test_micro_f1,adapter_effective_deployment_byte_ratio,official_sehgnn_unmodified,eligible_for_main_decision,eligible_for_adapter_table,adapter_effective_byte50_pass,adapter_effective_byte30_pass,adapter_effective_byte20_pass,adapter_effective_byte15_pass,adapter_effective_byte10_pass,adapter_accuracy_seed3_prelim_pass,adapter_accuracy_seed5_pass,adapter_official_unmodified_false,adapter_not_eligible_for_main_table,adapter_eligible_for_adapter_table
DBLP,SeHGNN-feature-compressed-adapter,H6-APV-skeleton,fp16_node_features,5,5,5,0.9481691999999999,0.003040232517423661,0.2678540430045147,False,False,True,True,True,False,False,False,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-APV-skeleton,int8_per_feature,5,5,5,0.9494368,0.0007902380400866832,0.13796707095757346,False,False,True,True,True,True,True,False,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-APV-skeleton,pca_svd_dim128,5,5,5,0.9475352,0.003693103865314358,0.00963302389521155,False,False,True,True,True,True,True,True,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-APV-skeleton,pca_svd_dim64,5,5,5,0.9476762,0.0034253557713031933,0.007002854401005299,False,False,True,True,True,True,True,True,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-APV-skeleton,random_projection_dim128,5,5,5,0.94831,0.002186589673441281,0.009596064821443056,False,False,True,True,True,True,True,True,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-APV-skeleton,random_projection_dim64,5,5,5,0.9490846000000001,0.0025353277973469155,0.0069926582720255094,False,False,True,True,True,True,True,True,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-APV-skeleton,raw_features_adapter_control,5,5,5,0.9481691999999999,0.003040232517423661,0.5302338858665623,False,False,True,False,False,False,False,False,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,fp16_node_features,5,5,5,0.9447888,0.003112726804587885,0.265324054643858,False,False,True,True,True,False,False,False,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,int8_per_feature,5,5,5,0.9440846,0.004102513112715203,0.13543708259691678,False,False,True,True,True,True,True,False,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,pca_svd_dim128,5,5,5,0.9450000000000001,0.00714497963608012,0.007103035534554863,False,False,True,True,True,True,True,True,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,pca_svd_dim64,5,5,5,0.947676,0.0012714706445686923,0.004472866040348612,False,False,True,True,True,True,True,True,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,random_projection_dim128,5,5,5,0.9458452,0.003104950524565575,0.00706607646078637,False,False,True,True,True,True,True,True,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,random_projection_dim64,5,5,5,0.9483804,0.0017618790650892988,0.004462669911368823,False,False,True,True,True,True,True,True,True,True,True,True,True
DBLP,SeHGNN-feature-compressed-adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,raw_features_adapter_control,5,5,5,0.9447888,0.003112726804587885,0.5277038975059056,False,False,True,False,False,False,False,False,True,True,True,True,True
