dataset,method,method_family,base_graph_method,canonical_base_graph_method,graph_seed,training_seed,feature_compression_method,uses_feature_adapter,official_sehgnn_unmodified,eligible_for_main_decision,eligible_for_adapter_table,official_text_hgb_byte_ratio,hgb_raw_file_byte_ratio,adapter_binary_feature_byte_ratio,adapter_effective_deployment_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,feature_storage_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,feature_loader_audit_pass,fit_uses_labels,fit_uses_test_labels,fit_uses_validation_labels,fit_uses_test_features,success,status,failed_reason,sidecar_feature_bytes,sidecar_metadata_bytes,node_dat_bytes,link_dat_bytes,label_dat_bytes,label_test_dat_bytes,info_dat_bytes,export_total_bytes,native_full_total_bytes,preprocessed_cache_bytes,train_time_seconds,peak_memory_mb
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,raw_features_adapter_control,True,False,False,True,0.5325499373218348,0.5325499373218348,0.5247597387500261,0.5302338858665623,0.5302338858665623,,1.0,0.9507040000000001,0.946857,0.934156,0.93161,,False,False,False,True,True,success,,69273997,0,69273997,668069,16378,38200,0,70302388,132010884,0,20.4393592,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,fp16_node_features,True,False,False,True,0.5325500433736964,0.5325500433736964,0.2623798655874466,0.2678540430045147,0.2678540430045147,,0.5,0.9507040000000001,0.946857,0.934156,0.93161,,False,False,False,True,True,success,,34636998,4,69273997,668069,16378,38200,0,70302402,132010884,0,22.717782300000003,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,int8_per_feature,True,False,False,True,0.5367364103099257,0.5367364103099257,0.1322365207402141,0.13796707095757346,0.13796707095757346,,0.25,0.9507040000000001,0.946857,0.934156,0.93161,,False,False,False,True,True,success,,17456660,33848,69826643,668069,16378,38200,0,70855048,132010884,0,20.4921717,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,pca_svd_dim128,True,False,False,True,0.14526077258902378,0.14526077258902378,0.00415887677867531,0.00963302389521155,0.00963302389521155,,0.030252895296620185,0.948944,0.944863,0.925926,0.923913,,False,False,False,True,True,success,,549017,0,18147593,668069,16378,38200,0,19176003,132010884,0,18.264114300000003,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,pca_svd_dim64,True,False,False,True,0.10885220645897652,0.10885220645897652,0.0015287072844690594,0.007002854401005299,0.007002854401005299,,0.015126447648310093,0.946127,0.941912,0.934156,0.930558,,False,False,False,True,True,success,,201806,0,13341269,668069,16378,38200,0,14369676,132010884,0,16.116584599999996,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,random_projection_dim128,True,False,False,True,0.14403921422115468,0.14403921422115468,0.004121917704906816,0.009596064821443056,0.009596064821443056,,0.030252895296620185,0.946831,0.9424819999999999,0.934156,0.931404,,False,False,False,True,True,success,,544138,0,17986324,668069,16378,38200,0,19014744,132010884,0,18.9294043,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.9450700000000001,0.941005,0.942387,0.9388,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,18.8216764,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,raw_features_adapter_control,True,False,False,True,0.5325499373218348,0.5325499373218348,0.5247597387500261,0.5302338858665623,0.5302338858665623,,1.0,0.9492959999999999,0.945886,0.962963,0.960235,,False,False,False,True,True,success,,69273997,0,69273997,668069,16378,38200,0,70302388,132010884,0,17.368228200000004,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,fp16_node_features,True,False,False,True,0.5325500433736964,0.5325500433736964,0.2623798655874466,0.2678540430045147,0.2678540430045147,,0.5,0.9492959999999999,0.945886,0.962963,0.960235,,False,False,False,True,True,success,,34636998,4,69273997,668069,16378,38200,0,70302402,132010884,0,17.235192600000005,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,int8_per_feature,True,False,False,True,0.5367364103099257,0.5367364103099257,0.1322365207402141,0.13796707095757346,0.13796707095757346,,0.25,0.948944,0.945433,0.962963,0.960235,,False,False,False,True,True,success,,17456660,33848,69826643,668069,16378,38200,0,70855048,132010884,0,18.099285400000014,
