"dataset","method","base_graph_method","canonical_base_graph_method","graph_seed","training_seed","relation_channel_spec","term_channel_spec","feature_transform_name","feature_transform_family","node_types_modified","feature_dim_by_type_after_loader","semantic_structural_storage_ratio","hgb_raw_file_byte_ratio","effective_total_byte_ratio","support_edge_ratio","test_micro_f1","test_macro_f1","validation_micro_f1","validation_macro_f1","official_sehgnn_unmodified","eligible_for_main_decision","eligible_for_adapter_table","cache_hygiene_pass","feature_loader_audit_pass","fit_uses_labels","fit_uses_test_labels","success","status","failed_reason"
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","raw","raw","","","0.19881894209127793","0.5325503160784834","0.5325503160784834","0.1759264670278754","0.9507040000000001","0.946857","0.934156","0.93161","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","raw","raw","","","0.3721235707242166","0.5381344389755014","0.5381344389755014","0.3681323727073124","0.95","0.945878","0.942387","0.939243","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","raw","raw","","","0.7765286382078632","0.5511646221534279","0.5511646221534279","0.8166434302029504","0.9492959999999999","0.9452079999999999","0.938272","0.935461","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","zero-author","zero","","","0.19881894209127793","0.5325504372806109","0.5325504372806109","0.1759264670278754","0.948592","0.945085","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","zero-author","zero","","","0.3721235707242166","0.538134560177629","0.538134560177629","0.3681323727073124","0.947887","0.944361","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","zero-author","zero","","","0.7765286382078632","0.5511647433555554","0.5511647433555554","0.8166434302029504","0.948592","0.945179","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","zero-paper","zero","","","0.19881894209127793","0.5320128603941475","0.5320128603941475","0.1759264670278754","0.9482389999999999","0.94399","0.938272","0.9346859999999999","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","zero-paper","zero","","","0.3721235707242166","0.5375969832911656","0.5375969832911656","0.3681323727073124","0.9503520000000001","0.946124","0.942387","0.939243","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","zero-paper","zero","","","0.7765286382078632","0.550627166469092","0.550627166469092","0.8166434302029504","0.948592","0.944346","0.938272","0.935461","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","zero-venue","zero","","","0.19881894209127793","0.5351147788692938","0.5351147788692938","0.1759264670278754","0.9503520000000001","0.9468859999999999","0.938272","0.934851","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","zero-venue","zero","","","0.3721235707242166","0.540698901766312","0.540698901766312","0.3681323727073124","0.9503520000000001","0.946598","0.934156","0.929995","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","zero-venue","zero","","","0.7765286382078632","0.5537290849442383","0.5537290849442383","0.8166434302029504","0.9503520000000001","0.9465309999999999","0.938272","0.934851","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","zero-term","zero","","","0.19881894209127793","0.5141441443570668","0.5141441443570668","0.1759264670278754","0.9503520000000001","0.946514","0.934156","0.93161","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","zero-term","zero","","","0.3721235707242166","0.5197282672540849","0.5197282672540849","0.3681323727073124","0.9510559999999999","0.947139","0.934156","0.93161","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","zero-term","zero","","","0.7765286382078632","0.5327584504320113","0.5327584504320113","0.8166434302029504","0.9510559999999999","0.9471080000000001","0.934156","0.93161","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","zero-target-author-only","zero","","","0.19881894209127793","0.5325506190838022","0.5325506190838022","0.1759264670278754","0.948592","0.945085","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","zero-target-author-only","zero","","","0.3721235707242166","0.5381347419808203","0.5381347419808203","0.3681323727073124","0.947887","0.944361","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","zero-target-author-only","zero","","","0.7765286382078632","0.5511649251587467","0.5511649251587467","0.8166434302029504","0.948592","0.945179","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","zero-support-author-only","zero","","","0.19881894209127793","0.5325506342340681","0.5325506342340681","0.1759264670278754","0.948592","0.945085","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","zero-support-author-only","zero","","","0.3721235707242166","0.5381347571310863","0.5381347571310863","0.3681323727073124","0.947887","0.944361","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","zero-support-author-only","zero","","","0.7765286382078632","0.5511649403090128","0.5511649403090128","0.8166434302029504","0.948592","0.945179","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","zero-all-support-features","zero","","","0.19881894209127793","0.5161711817640733","0.5161711817640733","0.1759264670278754","0.94331","0.938961","0.934156","0.9303629999999999","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","zero-all-support-features","zero","","","0.3721235707242166","0.5217553046610914","0.5217553046610914","0.3681323727073124","0.9447180000000001","0.940499","0.938272","0.936047","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","zero-all-support-features","zero","","","0.7765286382078632","0.5347854878390179","0.5347854878390179","0.8166434302029504","0.9440139999999999","0.939678","0.938272","0.9360970000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","author-only-features","type_only","","","0.19881894209127793","0.5161711060127436","0.5161711060127436","0.1759264670278754","0.94331","0.938961","0.934156","0.9303629999999999","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","author-only-features","type_only","","","0.3721235707242166","0.5217552289097617","0.5217552289097617","0.3681323727073124","0.9447180000000001","0.940499","0.938272","0.936047","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","author-only-features","type_only","","","0.7765286382078632","0.5347854120876882","0.5347854120876882","0.8166434302029504","0.9440139999999999","0.939678","0.938272","0.9360970000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","paper-only-features","type_only","","","0.19881894209127793","0.5167086525986752","0.5167086525986752","0.1759264670278754","0.946127","0.94211","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","paper-only-features","type_only","","","0.3721235707242166","0.5222927754956932","0.5222927754956932","0.3681323727073124","0.9450700000000001","0.9409439999999999","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","paper-only-features","type_only","","","0.7765286382078632","0.5353229586736197","0.5353229586736197","0.8166434302029504","0.946831","0.943094","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","venue-only-features","type_only","","","0.19881894209127793","0.5136067341235288","0.5136067341235288","0.1759264670278754","0.947535","0.944049","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","venue-only-features","type_only","","","0.3721235707242166","0.5191908570205469","0.5191908570205469","0.3681323727073124","0.947887","0.944397","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
