"dataset","method","canonical_method","graph_seed","training_seed","feature_transform_name","feature_transform_written_hash","feature_transform_loaded_hash","feature_transform_applied_flag","feature_transform_family","node_types_modified","node_type","node_type_name","feature_shape_before_transform","feature_shape_after_transform","feature_shape_after_loader","feature_dtype_after_loader","feature_dim_after_loader","feature_l2_norm_after_loader","feature_l1_sum_after_loader","feature_mean_after_loader","feature_std_after_loader","feature_zero_fraction_after_loader","feature_min_after_loader","feature_max_after_loader","source_storage_dtype","model_input_dtype","fit_uses_labels","fit_uses_test_labels","loader_uses_sidecar_flag","loader_uses_text_node_dat_flag","feature_loader_audit_pass"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","7b852b1601dc3a2e6bb696f5f73ea490be9ce466c4d9ba3b1f15446f4b2f5854","7b852b1601dc3a2e6bb696f5f73ea490be9ce466c4d9ba3b1f15446f4b2f5854","True","raw","","0","author","[4057, 334]","[4057, 334]","[4057, 334]","float32","334","220.9298553466797","48810.0","0.03602112829685211","0.1863427460193634","0.9639788699652704","0.0","1.0","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","1aae45864a79c2c1a612d041814ef58eb8882c00aa758f89cbe193bfe3cc1b33","1aae45864a79c2c1a612d041814ef58eb8882c00aa758f89cbe193bfe3cc1b33","True","raw","","1","paper","[3582, 4231]","[3582, 4231]","[3582, 4231]","float32","4231","97.535888671875","23990.5","0.0015829626936465502","0.02500411681830883","0.994774484307353","0.0","1.5","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","e4b536c2abbcb6d84b123e21fe6541e02bab61ab931207f7238dd0606a1a3ba2","e4b536c2abbcb6d84b123e21fe6541e02bab61ab931207f7238dd0606a1a3ba2","True","raw","","2","term","[3020, 50]","[3020, 50]","[3020, 50]","float32","50","216.71725463867188","55725.93359375","0.0025484985671937466","0.5577000975608826","0.0","-3.13919997215271","4.012400150299072","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","898a6f465557a0811e460d7ebd9c89c9657b2665d172076ce527cf84625c40ef","898a6f465557a0811e460d7ebd9c89c9657b2665d172076ce527cf84625c40ef","True","raw","","3","venue","[20, 0]","[20, 0]","[20, 0]","float32","0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","7b852b1601dc3a2e6bb696f5f73ea490be9ce466c4d9ba3b1f15446f4b2f5854","7b852b1601dc3a2e6bb696f5f73ea490be9ce466c4d9ba3b1f15446f4b2f5854","True","raw","","0","author","[4057, 334]","[4057, 334]","[4057, 334]","float32","334","220.9298553466797","48810.0","0.03602112829685211","0.1863427460193634","0.9639788699652704","0.0","1.0","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","1aae45864a79c2c1a612d041814ef58eb8882c00aa758f89cbe193bfe3cc1b33","1aae45864a79c2c1a612d041814ef58eb8882c00aa758f89cbe193bfe3cc1b33","True","raw","","1","paper","[3582, 4231]","[3582, 4231]","[3582, 4231]","float32","4231","97.535888671875","23990.5","0.0015829626936465502","0.02500411681830883","0.994774484307353","0.0","1.5","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","e4b536c2abbcb6d84b123e21fe6541e02bab61ab931207f7238dd0606a1a3ba2","e4b536c2abbcb6d84b123e21fe6541e02bab61ab931207f7238dd0606a1a3ba2","True","raw","","2","term","[3020, 50]","[3020, 50]","[3020, 50]","float32","50","216.71725463867188","55725.93359375","0.0025484985671937466","0.5577000975608826","0.0","-3.13919997215271","4.012400150299072","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","898a6f465557a0811e460d7ebd9c89c9657b2665d172076ce527cf84625c40ef","898a6f465557a0811e460d7ebd9c89c9657b2665d172076ce527cf84625c40ef","True","raw","","3","venue","[20, 0]","[20, 0]","[20, 0]","float32","0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","7b852b1601dc3a2e6bb696f5f73ea490be9ce466c4d9ba3b1f15446f4b2f5854","7b852b1601dc3a2e6bb696f5f73ea490be9ce466c4d9ba3b1f15446f4b2f5854","True","raw","","0","author","[4057, 334]","[4057, 334]","[4057, 334]","float32","334","220.9298553466797","48810.0","0.03602112829685211","0.1863427460193634","0.9639788699652704","0.0","1.0","fp32","fp32","False","False","False","True","True"
"DBLP","feature_channel_ablation","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","raw","1aae45864a79c2c1a612d041814ef58eb8882c00aa758f89cbe193bfe3cc1b33","1aae45864a79c2c1a612d041814ef58eb8882c00aa758f89cbe193bfe3cc1b33","True","raw","","1","paper","[3582, 4231]","[3582, 4231]","[3582, 4231]","float32","4231","97.535888671875","23990.5","0.0015829626936465502","0.02500411681830883","0.994774484307353","0.0","1.5","fp32","fp32","False","False","False","True","True"
