method,structural_storage_ratio,raw_hgb_text_byte_ratio,support_edge_ratio,test_micro_mean,test_micro_std,test_macro_mean,test_macro_std,recovery_micro_mean,full_minus_micro,pareto_rank,is_pareto_optimal,best_under_structural_0_12,best_under_structural_0_15,best_under_structural_0_20,min_storage_pass_full_minus_0_005,min_storage_pass_full_minus_0_010,min_storage_pass_full_minus_0_020,min_storage_pass_full_minus_0_030
H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,0.0866334956754763,0.5289873295598869,0.051505639364517505,0.876479,0.004875754669792177,0.871198,0.005014130752184273,0.9193393741742997,0.0769012,1,True,True,True,True,False,False,False,False
H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,0.10307722417517898,0.5295038248512903,0.06974278486930532,0.9065496000000002,0.003880227807745329,0.9012616,0.003865851036964578,0.9508798762282442,0.046830599999999833,1,True,True,True,True,False,False,False,False
H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,0.11274624191739371,0.5297887028769537,0.08046634330414165,0.9209156000000001,0.0031226669755194726,0.9159468000000001,0.0032258201685772966,0.9659477905512801,0.032464599999999955,1,True,True,True,True,False,False,False,False
H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,0.11612983356793907,0.5299044736341588,0.08421896262407855,0.9310562000000001,0.003183561866840331,0.9259472000000001,0.003109502301012172,0.9765839576340738,0.0223239999999999,1,True,True,True,True,False,False,False,True
HeSF-RCS-APV12,0.11951718894668302,0.5300203883188904,0.08797575615905429,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,0.9909888540742896,0.008591399999999916,1,True,True,True,True,False,True,True,True
H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,0.14839251168637604,0.5309508419017935,0.12000033393720311,0.9462676,0.002874629896177954,0.942154,0.003160114871329866,0.9925397108194666,0.0071126000000000245,1,True,False,True,True,False,True,True,True
H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,0.15239711848969115,0.5310533334508994,0.1244416987385522,0.9483098,0.002740009810201384,0.9444657999999999,0.003123299114718272,0.9946814594402488,0.0050704000000000304,1,True,False,False,True,False,True,True,True
HeSF-RCS-APV16,0.15916430179078186,0.5312848976907086,0.131946937378426,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,0.9962325245858523,0.0035914000000000224,1,True,False,False,True,True,True,True,True
H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,0.12628437224777375,0.5302519525586996,0.09548099479892806,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,0.9909888540742896,0.008591399999999916,2,False,False,True,True,False,True,True,True
H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,0.1772828893388635,0.5318818408942705,0.1520416085755074,0.9445772,0.0047062421697146245,0.9403844000000001,0.00509921435517273,0.9907659849690971,0.008803000000000005,2,False,False,False,True,False,True,True,True
H6-APV-skeleton,0.19881894209127793,0.5325500660990953,0.1759264670278754,0.9481692,0.003040232517423661,0.9444909999999999,0.0032740160659349067,0.9945338961660826,0.005210999999999966,2,False,False,False,True,False,True,True,True
H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,0.29282181757962167,0.5356045112159086,0.28018166183849125,0.9480282000000001,0.002363117804934785,0.9440918,0.0026468861252422577,0.9943874677470361,0.005351999999999912,2,False,False,False,False,False,True,True,True
H6-node30,0.7765286382078631,0.5511642282465133,0.8166434302029504,0.9470422000000002,0.0029595227588244733,0.9433027999999999,0.003234023710488219,0.9933519323843204,0.006337999999999844,2,False,False,False,False,False,True,True,True
