dataset,method,method_family,base_graph_method,canonical_base_graph_method,graph_seed,training_seed,feature_compression_method,uses_feature_adapter,official_sehgnn_unmodified,eligible_for_main_decision,eligible_for_adapter_table,official_text_hgb_byte_ratio,hgb_raw_file_byte_ratio,adapter_binary_feature_byte_ratio,adapter_effective_deployment_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,feature_storage_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,feature_loader_audit_pass,fit_uses_labels,fit_uses_test_labels,fit_uses_validation_labels,fit_uses_test_features,success,status,failed_reason,sidecar_feature_bytes,sidecar_metadata_bytes,node_dat_bytes,link_dat_bytes,label_dat_bytes,label_test_dat_bytes,info_dat_bytes,export_total_bytes,native_full_total_bytes,preprocessed_cache_bytes,train_time_seconds,peak_memory_mb,adapter_package_ratio,adapter_manifest_complete,adapter_manifest_path,adapter_package_total_bytes,projection_fit_time_seconds,sidecar_write_time_seconds,sidecar_load_time_seconds,preprocess_time_seconds,peak_cpu_memory_mb,peak_gpu_memory_mb,failure_type
DBLP,H6-APV-skeleton+fp16_node_features,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,fp16_node_features,True,False,False,True,0.5325500433736964,0.5325500433736964,0.2623798655874466,0.2678540430045147,0.2678540430045147,,0.5,0.9507040000000001,0.946857,0.934156,0.93161,,False,False,False,True,True,success,,34636998,4,69273997,668069,16378,38200,0,70302402,132010884,0,22.717782300000003,,0.2679083415576552,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+fp16_node_features\graph_seed_1\training_seed_1\adapter_manifest.json,35366817,,,,,,,
DBLP,H6-APV-skeleton+fp16_node_features,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,fp16_node_features,True,False,False,True,0.5325500433736964,0.5325500433736964,0.2623798655874466,0.2678540430045147,0.2678540430045147,,0.5,0.9492959999999999,0.945886,0.962963,0.960235,,False,False,False,True,True,success,,34636998,4,69273997,668069,16378,38200,0,70302402,132010884,0,17.235192600000005,,0.2679083415576552,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+fp16_node_features\graph_seed_1\training_seed_2\adapter_manifest.json,35366817,,,,,,,
DBLP,H6-APV-skeleton+fp16_node_features,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,3,fp16_node_features,True,False,False,True,0.5325500433736964,0.5325500433736964,0.2623798655874466,0.2678540430045147,0.2678540430045147,,0.5,0.948592,0.945121,0.942387,0.938376,,False,False,False,True,True,success,,34636998,4,69273997,668069,16378,38200,0,70302402,132010884,0,16.791943500000002,,0.2679083415576552,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+fp16_node_features\graph_seed_1\training_seed_3\adapter_manifest.json,35366817,,,,,,,
DBLP,H6-APV-skeleton+fp16_node_features,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,4,fp16_node_features,True,False,False,True,0.5325500433736964,0.5325500433736964,0.2623798655874466,0.2678540430045147,0.2678540430045147,,0.5,0.9422539999999999,0.938052,0.942387,0.941682,,False,False,False,True,True,success,,34636998,4,69273997,668069,16378,38200,0,70302402,132010884,0,30.570164500000033,,0.2679083415576552,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+fp16_node_features\graph_seed_1\training_seed_4\adapter_manifest.json,35366817,,,,,,,
DBLP,H6-APV-skeleton+fp16_node_features,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,fp16_node_features,True,False,False,True,0.5325500433736964,0.5325500433736964,0.2623798655874466,0.2678540430045147,0.2678540430045147,,0.5,0.95,0.9465389999999999,0.946502,0.942473,,False,False,False,True,True,success,,34636998,4,69273997,668069,16378,38200,0,70302402,132010884,0,17.438719500000047,,0.2679083415576552,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+fp16_node_features\graph_seed_1\training_seed_5\adapter_manifest.json,35366817,,,,,,,
DBLP,H6-APV-skeleton+int8_per_feature,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,int8_per_feature,True,False,False,True,0.5367364103099257,0.5367364103099257,0.1322365207402141,0.13796707095757346,0.13796707095757346,,0.25,0.9507040000000001,0.946857,0.934156,0.93161,,False,False,False,True,True,success,,17456660,33848,69826643,668069,16378,38200,0,70855048,132010884,0,20.4921717,,0.13802136951071398,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+int8_per_feature\graph_seed_1\training_seed_1\adapter_manifest.json,18220323,,,,,,,
DBLP,H6-APV-skeleton+int8_per_feature,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,int8_per_feature,True,False,False,True,0.5367364103099257,0.5367364103099257,0.1322365207402141,0.13796707095757346,0.13796707095757346,,0.25,0.948944,0.945433,0.962963,0.960235,,False,False,False,True,True,success,,17456660,33848,69826643,668069,16378,38200,0,70855048,132010884,0,18.099285400000014,,0.13802136951071398,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+int8_per_feature\graph_seed_1\training_seed_2\adapter_manifest.json,18220323,,,,,,,
DBLP,H6-APV-skeleton+int8_per_feature,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,3,int8_per_feature,True,False,False,True,0.5367364103099257,0.5367364103099257,0.1322365207402141,0.13796707095757346,0.13796707095757346,,0.25,0.948592,0.945121,0.942387,0.938376,,False,False,False,True,True,success,,17456660,33848,69826643,668069,16378,38200,0,70855048,132010884,0,17.22682679999997,,0.13802136951071398,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+int8_per_feature\graph_seed_1\training_seed_3\adapter_manifest.json,18220323,,,,,,,
DBLP,H6-APV-skeleton+int8_per_feature,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,4,int8_per_feature,True,False,False,True,0.5367364103099257,0.5367364103099257,0.1322365207402141,0.13796707095757346,0.13796707095757346,,0.25,0.948944,0.944963,0.946502,0.945717,,False,False,False,True,True,success,,17456660,33848,69826643,668069,16378,38200,0,70855048,132010884,0,23.127718399999992,,0.13802136951071398,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+int8_per_feature\graph_seed_1\training_seed_4\adapter_manifest.json,18220323,,,,,,,
DBLP,H6-APV-skeleton+int8_per_feature,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,int8_per_feature,True,False,False,True,0.5367364103099257,0.5367364103099257,0.1322365207402141,0.13796707095757346,0.13796707095757346,,0.25,0.95,0.9465389999999999,0.946502,0.942473,,False,False,False,True,True,success,,17456660,33848,69826643,668069,16378,38200,0,70855048,132010884,0,17.578368699999942,,0.13802136951071398,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+int8_per_feature\graph_seed_1\training_seed_5\adapter_manifest.json,18220323,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,pca_svd_dim64,True,False,False,True,0.10885220645897652,0.10885220645897652,0.0015287072844690594,0.007002854401005299,0.007002854401005299,,0.015126447648310093,0.946127,0.941912,0.934156,0.930558,,False,False,False,True,True,success,,201806,0,13341269,668069,16378,38200,0,14369676,132010884,0,16.116584599999996,,0.0070571529541458115,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim64\graph_seed_1\training_seed_1\adapter_manifest.json,931621,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,pca_svd_dim64,True,False,False,True,0.10885220645897652,0.10885220645897652,0.0015287072844690594,0.007002854401005299,0.007002854401005299,,0.015126447648310093,0.9496479999999999,0.946245,0.958848,0.955401,,False,False,False,True,True,success,,201806,0,13341269,668069,16378,38200,0,14369676,132010884,0,14.61635990000002,,0.0070571529541458115,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim64\graph_seed_1\training_seed_2\adapter_manifest.json,931621,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,3,pca_svd_dim64,True,False,False,True,0.10885220645897652,0.10885220645897652,0.0015287072844690594,0.007002854401005299,0.007002854401005299,,0.015126447648310093,0.947887,0.9438179999999999,0.938272,0.933587,,False,False,False,True,True,success,,201806,0,13341269,668069,16378,38200,0,14369676,132010884,0,13.765839200000016,,0.0070571529541458115,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim64\graph_seed_1\training_seed_3\adapter_manifest.json,931621,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,4,pca_svd_dim64,True,False,False,True,0.10885220645897652,0.10885220645897652,0.0015287072844690594,0.007002854401005299,0.007002854401005299,,0.015126447648310093,0.9422539999999999,0.9377530000000001,0.946502,0.945564,,False,False,False,True,True,success,,201806,0,13341269,668069,16378,38200,0,14369676,132010884,0,24.73458389999996,,0.0070571529541458115,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim64\graph_seed_1\training_seed_4\adapter_manifest.json,931621,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,pca_svd_dim64,True,False,False,True,0.10885220645897652,0.10885220645897652,0.0015287072844690594,0.007002854401005299,0.007002854401005299,,0.015126447648310093,0.952465,0.9492910000000001,0.946502,0.9408660000000001,,False,False,False,True,True,success,,201806,0,13341269,668069,16378,38200,0,14369676,132010884,0,14.221796299999937,,0.0070571529541458115,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim64\graph_seed_1\training_seed_5\adapter_manifest.json,931621,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,pca_svd_dim128,True,False,False,True,0.14526077258902378,0.14526077258902378,0.00415887677867531,0.00963302389521155,0.00963302389521155,,0.030252895296620185,0.948944,0.944863,0.925926,0.923913,,False,False,False,True,True,success,,549017,0,18147593,668069,16378,38200,0,19176003,132010884,0,18.264114300000003,,0.009687322448352062,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim128\graph_seed_1\training_seed_1\adapter_manifest.json,1278832,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,pca_svd_dim128,True,False,False,True,0.14526077258902378,0.14526077258902378,0.00415887677867531,0.00963302389521155,0.00963302389521155,,0.030252895296620185,0.952113,0.948756,0.958848,0.955401,,False,False,False,True,True,success,,549017,0,18147593,668069,16378,38200,0,19176003,132010884,0,14.830958400000014,,0.009687322448352062,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim128\graph_seed_1\training_seed_2\adapter_manifest.json,1278832,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,3,pca_svd_dim128,True,False,False,True,0.14526077258902378,0.14526077258902378,0.00415887677867531,0.00963302389521155,0.00963302389521155,,0.030252895296620185,0.947535,0.943716,0.942387,0.938376,,False,False,False,True,True,success,,549017,0,18147593,668069,16378,38200,0,19176003,132010884,0,14.150570499999958,,0.009687322448352062,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim128\graph_seed_1\training_seed_3\adapter_manifest.json,1278832,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,4,pca_svd_dim128,True,False,False,True,0.14526077258902378,0.14526077258902378,0.00415887677867531,0.00963302389521155,0.00963302389521155,,0.030252895296620185,0.940845,0.9364159999999999,0.950617,0.950201,,False,False,False,True,True,success,,549017,0,18147593,668069,16378,38200,0,19176003,132010884,0,27.981978899999945,,0.009687322448352062,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim128\graph_seed_1\training_seed_4\adapter_manifest.json,1278832,,,,,,,
DBLP,H6-APV-skeleton+pca_svd_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,pca_svd_dim128,True,False,False,True,0.14526077258902378,0.14526077258902378,0.00415887677867531,0.00963302389521155,0.00963302389521155,,0.030252895296620185,0.9482389999999999,0.944334,0.946502,0.941413,,False,False,False,True,True,success,,549017,0,18147593,668069,16378,38200,0,19176003,132010884,0,16.745525900000075,,0.009687322448352062,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+pca_svd_dim128\graph_seed_1\training_seed_5\adapter_manifest.json,1278832,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.9450700000000001,0.941005,0.942387,0.9388,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,18.8216764,,0.0070469568251660215,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim64\graph_seed_1\training_seed_1\adapter_manifest.json,930275,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.9503520000000001,0.946858,0.958848,0.955401,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,14.514928999999995,,0.0070469568251660215,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim64\graph_seed_1\training_seed_2\adapter_manifest.json,930275,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,3,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.948592,0.944598,0.942387,0.937286,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,13.909696300000007,,0.0070469568251660215,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim64\graph_seed_1\training_seed_3\adapter_manifest.json,930275,,,,,,,
