dataset,method,base_graph_method,feature_compression_method,method_family,schema_compatible,official_sehgnn_unmodified,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,keeps_all_target_nodes,eligible_for_official_main_table,eligible_for_adapter_table,runs,success_count,training_seed_count,test_micro_mean,test_micro_std,test_macro_mean,adapter_package_ratio,adapter_manifest_complete,structural_storage_ratio,raw_hgb_text_byte_ratio,OFFICIAL_STRUCTURAL_APV12_PASS,OFFICIAL_STRUCTURAL_APV16_PASS,OFFICIAL_STRUCTURAL30_PASS,OFFICIAL_STRUCTURAL20_PASS,OFFICIAL_STRUCTURAL12_PASS,RAW_HGB_BYTE50_PASS,RAW_HGB_BYTE30_PASS,ADAPTER_PACKAGE10_PASS,ADAPTER_PACKAGE05_PASS
DBLP,H6-APV-skeleton+fp16_node_features,H6-APV-skeleton,fp16_node_features,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9481691999999999,0.003040232517423661,0.944491,0.2679083415576552,True,,,False,False,False,False,False,False,False,False,False
DBLP,H6-APV-skeleton+int8_per_feature,H6-APV-skeleton,int8_per_feature,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9494368,0.0007902380400866832,0.9457825999999999,0.13802136951071398,True,,,False,False,False,False,False,False,False,False,False
DBLP,H6-APV-skeleton+pca_svd_dim128,H6-APV-skeleton,pca_svd_dim128,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9475352,0.003693103865314358,0.943617,0.009687322448352062,True,,,False,False,False,False,False,False,False,True,True
DBLP,H6-APV-skeleton+pca_svd_dim64,H6-APV-skeleton,pca_svd_dim64,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9476762,0.0034253557713031933,0.9438038,0.0070571529541458115,True,,,False,False,False,False,False,False,False,True,True
DBLP,H6-APV-skeleton+random_projection_dim128,H6-APV-skeleton,random_projection_dim128,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.94831,0.002186589673441281,0.9444975999999999,0.009650363374583568,True,,,False,False,False,False,False,False,False,True,True
DBLP,H6-APV-skeleton+random_projection_dim64,H6-APV-skeleton,random_projection_dim64,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9490846000000001,0.0025353277973469155,0.9454006,0.0070469568251660215,True,,,False,False,False,False,False,False,False,True,True
DBLP,H6-APV-skeleton+raw_features_adapter_control,H6-APV-skeleton,raw_features_adapter_control,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9481691999999999,0.003040232517423661,0.944491,1.055047923169729,True,,,False,False,False,False,False,False,False,False,False
DBLP,HeSF-RCS-APV12+fp16_node_features,HeSF-RCS-APV12,fp16_node_features,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9447888,0.003112726804587885,0.9405382,0.26537835319699854,True,,,False,False,False,False,False,False,False,False,False
DBLP,HeSF-RCS-APV12+int8_per_feature,HeSF-RCS-APV12,int8_per_feature,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9440846,0.004102513112715203,0.9397848,0.1354913811500573,True,,,False,False,False,False,False,False,False,False,False
DBLP,HeSF-RCS-APV12+pca_svd_dim128,HeSF-RCS-APV12,pca_svd_dim128,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9450000000000001,0.00714497963608012,0.9407836,0.007157334087695375,True,,,False,False,False,False,False,False,False,True,True
DBLP,HeSF-RCS-APV12+pca_svd_dim64,HeSF-RCS-APV12,pca_svd_dim64,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.947676,0.0012714706445686923,0.9435952,0.004527164593489124,True,,,False,False,False,False,False,False,False,True,True
DBLP,HeSF-RCS-APV12+random_projection_dim128,HeSF-RCS-APV12,random_projection_dim128,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9458452,0.003104950524565575,0.94147,0.007120375013926882,True,,,False,False,False,False,False,False,False,True,True
DBLP,HeSF-RCS-APV12+random_projection_dim64,HeSF-RCS-APV12,random_projection_dim64,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9483804,0.0017618790650892988,0.944354,0.004516968464509335,True,,,False,False,False,False,False,False,False,True,True
DBLP,HeSF-RCS-APV12+raw_features_adapter_control,HeSF-RCS-APV12,raw_features_adapter_control,feature_compressed_adapter,True,False,True,False,False,True,False,True,5,5,5,0.9447888,0.003112726804587885,0.9405382,1.0525179348090723,True,,,False,False,False,False,False,False,False,False,False
DBLP,HeSF-RCS-APV16+fp16_node_features,HeSF-RCS-APV16,fp16_node_features,feature_compressed_adapter,True,False,True,False,False,True,False,True,1,0,0,,,,,False,,,False,False,False,False,False,False,False,False,False
DBLP,HeSF-RCS-APV16+int8_per_feature,HeSF-RCS-APV16,int8_per_feature,feature_compressed_adapter,True,False,True,False,False,True,False,True,1,0,0,,,,,False,,,False,False,False,False,False,False,False,False,False
DBLP,HeSF-RCS-APV16+pca_svd_dim128,HeSF-RCS-APV16,pca_svd_dim128,feature_compressed_adapter,True,False,True,False,False,True,False,True,1,0,0,,,,,False,,,False,False,False,False,False,False,False,False,False
DBLP,HeSF-RCS-APV16+pca_svd_dim64,HeSF-RCS-APV16,pca_svd_dim64,feature_compressed_adapter,True,False,True,False,False,True,False,True,1,0,0,,,,,False,,,False,False,False,False,False,False,False,False,False
DBLP,HeSF-RCS-APV16+random_projection_dim128,HeSF-RCS-APV16,random_projection_dim128,feature_compressed_adapter,True,False,True,False,False,True,False,True,1,0,0,,,,,False,,,False,False,False,False,False,False,False,False,False
