dataset,baseline_name,graph_seed,training_seed,schema_compatible,keeps_all_target_nodes,official_hgb_exported,artifact_audit_pass,artifact_manifest_path,construction_status,selection_signal,export_hash,failure_type
DBLP,Random-HG-TP,1,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,3e768089f9892c9815715001bd75a94f9aa8565848967f28d2d783d8a29ca0a9,
DBLP,Random-HG-TP,1,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,3e768089f9892c9815715001bd75a94f9aa8565848967f28d2d783d8a29ca0a9,
DBLP,Random-HG-TP,1,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,3e768089f9892c9815715001bd75a94f9aa8565848967f28d2d783d8a29ca0a9,
DBLP,Random-HG-TP,1,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,3e768089f9892c9815715001bd75a94f9aa8565848967f28d2d783d8a29ca0a9,
DBLP,Random-HG-TP,1,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,3e768089f9892c9815715001bd75a94f9aa8565848967f28d2d783d8a29ca0a9,
DBLP,Random-HG-TP,2,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,340a43762e6d005c5a1f947d777b2677be82b0a6a6f6e23baf8d23c3de604c50,
DBLP,Random-HG-TP,2,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,340a43762e6d005c5a1f947d777b2677be82b0a6a6f6e23baf8d23c3de604c50,
DBLP,Random-HG-TP,2,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,340a43762e6d005c5a1f947d777b2677be82b0a6a6f6e23baf8d23c3de604c50,
DBLP,Random-HG-TP,2,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,340a43762e6d005c5a1f947d777b2677be82b0a6a6f6e23baf8d23c3de604c50,
DBLP,Random-HG-TP,2,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,340a43762e6d005c5a1f947d777b2677be82b0a6a6f6e23baf8d23c3de604c50,
DBLP,Random-HG-TP,3,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,997b9866d076ae3cf5cf1a344cca84bbb332f4b1b8a652762510ab7bd5536256,
DBLP,Random-HG-TP,3,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,997b9866d076ae3cf5cf1a344cca84bbb332f4b1b8a652762510ab7bd5536256,
DBLP,Random-HG-TP,3,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,997b9866d076ae3cf5cf1a344cca84bbb332f4b1b8a652762510ab7bd5536256,
DBLP,Random-HG-TP,3,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,997b9866d076ae3cf5cf1a344cca84bbb332f4b1b8a652762510ab7bd5536256,
DBLP,Random-HG-TP,3,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,997b9866d076ae3cf5cf1a344cca84bbb332f4b1b8a652762510ab7bd5536256,
DBLP,Random-HG-TP,4,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,514e227ab38e79b19f7bbc42c3b212c12c2b8a13c4536bccf4f06cf7dd47ac56,
DBLP,Random-HG-TP,4,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,514e227ab38e79b19f7bbc42c3b212c12c2b8a13c4536bccf4f06cf7dd47ac56,
DBLP,Random-HG-TP,4,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,514e227ab38e79b19f7bbc42c3b212c12c2b8a13c4536bccf4f06cf7dd47ac56,
DBLP,Random-HG-TP,4,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,514e227ab38e79b19f7bbc42c3b212c12c2b8a13c4536bccf4f06cf7dd47ac56,
DBLP,Random-HG-TP,4,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,514e227ab38e79b19f7bbc42c3b212c12c2b8a13c4536bccf4f06cf7dd47ac56,
DBLP,Random-HG-TP,5,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,beb005b84b78c157339791b2cfe92c0e562f4bb647914ee36c393fafa7c887d7,
DBLP,Random-HG-TP,5,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,beb005b84b78c157339791b2cfe92c0e562f4bb647914ee36c393fafa7c887d7,
DBLP,Random-HG-TP,5,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,beb005b84b78c157339791b2cfe92c0e562f4bb647914ee36c393fafa7c887d7,
DBLP,Random-HG-TP,5,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,beb005b84b78c157339791b2cfe92c0e562f4bb647914ee36c393fafa7c887d7,
DBLP,Random-HG-TP,5,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,beb005b84b78c157339791b2cfe92c0e562f4bb647914ee36c393fafa7c887d7,
