dataset,method,feature_transform_name,original_feature_shape_by_type,transformed_feature_shape_by_type,shape_preserved_by_type,feature_transform_leakage_flag,all_zero_feature_fraction_by_type,feature_transform_fit_split,uses_test_data_for_transform,shape_safe_pass
DBLP,full,raw,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,zero-author-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,zero-paper-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,zero-term-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,zero-venue-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,zero-all-support-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,zero-all-features-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,paper-PCA64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,paper-random-projection64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,paper-int8,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,full,paper-fp16,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,raw,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,zero-author-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,zero-paper-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,zero-term-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,zero-venue-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,zero-all-support-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,zero-all-features-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,paper-PCA64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,paper-random-projection64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,paper-int8,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-node30,paper-fp16,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-APV-skeleton,raw,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,H6-APV-skeleton,zero-author-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,H6-APV-skeleton,zero-paper-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,H6-APV-skeleton,zero-term-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,H6-APV-skeleton,zero-venue-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-APV-skeleton,zero-all-support-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,H6-APV-skeleton,zero-all-features-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,H6-APV-skeleton,paper-PCA64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,H6-APV-skeleton,paper-random-projection64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,H6-APV-skeleton,paper-int8,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,H6-APV-skeleton,paper-fp16,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,raw,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,zero-author-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,zero-paper-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,zero-term-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,zero-venue-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV12,zero-all-support-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,zero-all-features-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV12,paper-PCA64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,paper-random-projection64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,paper-int8,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV12,paper-fp16,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,unsupervised_all_nodes_no_labels,False,True
DBLP,HeSF-RCS-APV16,raw,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,zero-author-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,zero-paper-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,zero-term-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,zero-venue-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,zero-all-support-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,zero-all-features-preserve-dim,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,paper-PCA64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,paper-random-projection64,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,paper-int8,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
DBLP,HeSF-RCS-APV16,paper-fp16,,,preserve-dim transforms required; legacy zero-venue result not promoted,False,,not_fit,False,True
