dataset,method,graph_seed,training_seed,export_hash,cache_namespace,cache_reused_flag,force_reprocess_flag,metapath_key,relation_sequence,input_relation_ids,input_relation_names,feature_tensor_shape,feature_tensor_nonzero_count,feature_tensor_density,feature_tensor_bytes,feature_tensor_hash,label_feature_key,label_feature_shape,label_feature_nonzero_count,label_feature_bytes,label_feature_hash,cache_file_path,cache_file_bytes,introspection_supported,introspection_failure_reason,fallback_loaded_relation_audit_used
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,1,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\graph_seed_1\training_seed_1\export_hash_abfe5549a752\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,2,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\graph_seed_1\training_seed_2\export_hash_abfe5549a752\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,3,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\graph_seed_1\training_seed_3\export_hash_abfe5549a752\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,4,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\graph_seed_1\training_seed_4\export_hash_abfe5549a752\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,5,abfe5549a752b70a6e41678c851a63937705ba00631c1df8185726941bddaf4b,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV100-VP00-PTTP00\graph_seed_1\training_seed_5\export_hash_abfe5549a752\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,1,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA50-PV100-VP50-PTTP00\graph_seed_1\training_seed_1\export_hash_dc84bd4952fa\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,2,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA50-PV100-VP50-PTTP00\graph_seed_1\training_seed_2\export_hash_dc84bd4952fa\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,3,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA50-PV100-VP50-PTTP00\graph_seed_1\training_seed_3\export_hash_dc84bd4952fa\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,4,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA50-PV100-VP50-PTTP00\graph_seed_1\training_seed_4\export_hash_dc84bd4952fa\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,5,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA50-PV100-VP50-PTTP00\graph_seed_1\training_seed_5\export_hash_dc84bd4952fa\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
