dataset,method,feature_setting,label_graph_setting,success,failure_type,test_micro_mean,test_macro_mean,shape_safe_pass,feature_transform_leakage_flag,uses_test_data_for_transform,feature_transform_fit_split
DBLP,full,raw,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,zero-author-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,zero-paper-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,zero-term-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,zero-venue-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,zero-all-support-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,zero-all-features-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,paper-PCA64,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,paper-random-projection64,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,paper-int8,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,paper-fp16,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,full,raw,no_label_feats,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,full,raw,num_label_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,full,raw,num_feature_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,full,raw,no_label_feats+zero-all-support-preserve-dim,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,full,raw,feature_only_mlp_if_supported,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-node30,raw,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,zero-author-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,zero-paper-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,zero-term-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,zero-venue-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,zero-all-support-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,zero-all-features-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,paper-PCA64,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,paper-random-projection64,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,paper-int8,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,paper-fp16,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-node30,raw,no_label_feats,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-node30,raw,num_label_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-node30,raw,num_feature_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-node30,raw,no_label_feats+zero-all-support-preserve-dim,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-node30,raw,feature_only_mlp_if_supported,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-APV-skeleton,raw,default,True,,0.9495306666666666,0.9459546666666666,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,zero-author-preserve-dim,default,True,,0.948709,0.9452993333333333,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,zero-paper-preserve-dim,default,True,,0.9482393333333333,0.9444496666666667,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,zero-term-preserve-dim,default,True,,0.949296,0.9456946666666667,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,zero-venue-preserve-dim,default,False,legacy_shape_unsafe,,,True,False,False,not_fit
DBLP,H6-APV-skeleton,zero-all-support-preserve-dim,default,True,,0.9461266666666667,0.9421046666666667,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,zero-all-features-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,H6-APV-skeleton,paper-PCA64,default,True,,0.9478873333333334,0.9439916666666667,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,paper-random-projection64,default,True,,0.9490846000000002,0.9454005999999999,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,paper-int8,default,True,,0.9494368,0.9457825999999999,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,paper-fp16,default,True,,0.9481692,0.9444909999999999,True,False,False,unsupervised_all_nodes_no_labels
DBLP,H6-APV-skeleton,raw,no_label_feats,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-APV-skeleton,raw,num_label_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-APV-skeleton,raw,num_feature_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-APV-skeleton,raw,no_label_feats+zero-all-support-preserve-dim,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,H6-APV-skeleton,raw,feature_only_mlp_if_supported,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV12,raw,default,True,,0.9464786666666667,0.9421763333333333,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,zero-author-preserve-dim,default,True,,0.946244,0.9424853333333333,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,zero-paper-preserve-dim,default,True,,0.9456573333333335,0.9412413333333333,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,zero-term-preserve-dim,default,True,,0.9460093333333334,0.9417459999999999,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,zero-venue-preserve-dim,default,False,legacy_shape_unsafe,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV12,zero-all-support-preserve-dim,default,True,,0.791432,0.7863663333333334,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,zero-all-features-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV12,paper-PCA64,default,True,,0.9474176666666666,0.9432143333333333,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,paper-random-projection64,default,True,,0.9483803999999999,0.9443539999999999,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,paper-int8,default,True,,0.9440846,0.9397848,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,paper-fp16,default,True,,0.9447888000000001,0.9405382,True,False,False,unsupervised_all_nodes_no_labels
DBLP,HeSF-RCS-APV12,raw,no_label_feats,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV12,raw,num_label_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV12,raw,num_feature_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV12,raw,no_label_feats+zero-all-support-preserve-dim,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV12,raw,feature_only_mlp_if_supported,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV16,raw,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,zero-author-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,zero-paper-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,zero-term-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,zero-venue-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,zero-all-support-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,zero-all-features-preserve-dim,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,paper-PCA64,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,paper-random-projection64,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,paper-int8,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,paper-fp16,default,False,not_run_or_unsupported,,,True,False,False,not_fit
DBLP,HeSF-RCS-APV16,raw,no_label_feats,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV16,raw,num_label_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV16,raw,num_feature_hops_0,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV16,raw,no_label_feats+zero-all-support-preserve-dim,False,unsupported_by_official_pipeline,,,True,False,False,
DBLP,HeSF-RCS-APV16,raw,feature_only_mlp_if_supported,False,unsupported_by_official_pipeline,,,True,False,False,
