baseline_name,protocol,method_family,schema_compatible,official_sehgnn_unmodified,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,keeps_all_target_nodes,used_test_data,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligibility_failure_reasons,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,official_text_hgb_byte_ratio,binary_feature_sidecar_ratio,adapter_package_ratio,preprocessed_cache_byte_ratio,train_time_seconds,preprocess_time_seconds,compress_time_seconds,peak_cpu_memory_mb,peak_gpu_memory_mb,dataset,budget_type,budget_value,graph_seed,training_seed,success,failure_type,failure_message,construction_status,selection_signal,official_hgb_exported,export_hash,artifact_manifest_path,raw_hgb_text_byte_ratio_estimated,training_executed,training_status,compress_peak_cpu_memory_mb,export_time_seconds,test_micro_f1,test_macro_f1,recovery_micro,recovery_macro
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,1,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,1,2,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,1,3,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,1,4,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,1,5,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,2,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,2,2,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,2,3,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,2,4,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,2,5,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,3,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,3,2,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,3,3,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,3,4,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,3,5,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,4,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,4,2,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,4,3,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,4,4,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,4,5,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,5,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,5,2,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,
