baseline_name,protocol,method_family,schema_compatible,official_sehgnn_unmodified,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,keeps_all_target_nodes,used_test_data,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligibility_failure_reasons,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,official_text_hgb_byte_ratio,binary_feature_sidecar_ratio,adapter_package_ratio,preprocessed_cache_byte_ratio,train_time_seconds,preprocess_time_seconds,compress_time_seconds,peak_cpu_memory_mb,peak_gpu_memory_mb,dataset,budget_type,budget_value,graph_seed,training_seed,success,failure_type,failure_message,construction_status,selection_signal,official_hgb_exported,export_hash,artifact_manifest_path,raw_hgb_text_byte_ratio_estimated,training_executed,training_status,compress_peak_cpu_memory_mb,export_time_seconds,test_micro_f1,test_macro_f1,recovery_micro,recovery_macro,runs,success_count
Coarsening-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.1,0.024760441798919713,0.045901525815411716,0.045901525815411716,0.045901525815411716,,,,,,,,,DBLP,support_node_ratio,0.1,1,1,True,,,constructed_estimate,support medoid selection; no synthetic supernodes,False,b9bc79d6a5cc8b4eb57a01f391ffd9c453902086b0700df74ed68156ea17381a,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Coarsening-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.2,0.06624078542030172,0.09160929490315928,0.09160929490315928,0.09160929490315928,,,,,,,,,DBLP,support_node_ratio,0.2,1,1,True,,,constructed_estimate,support medoid selection; no synthetic supernodes,False,e897c60b500f97b9aa163966d615cc3de6e820a64eb8425990d8eb0f22443455,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Coarsening-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,1,1,True,,,constructed_estimate,support medoid selection; no synthetic supernodes,False,291eba6c10fe3e1306139ed165295bfe30fdbd9a640145f961b211f248f1463d,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Coarsening-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.5,0.29100122721922145,0.31919049733904414,0.31919049733904414,0.31919049733904414,,,,,,,,,DBLP,support_node_ratio,0.5,1,1,True,,,constructed_estimate,support medoid selection; no synthetic supernodes,False,dff3e756e78507a5484afe9c3ae667271d681b791f5e259ac9ac606b30bae54b,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.1,,,,,,,,,,,,,DBLP,support_node_ratio,0.1,1,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,,25,0
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.2,,,,,,,,,,,,,DBLP,support_node_ratio,0.2,1,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,,25,0
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.3,,,,,,,,,,,,,DBLP,support_node_ratio,0.3,1,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,,25,0
FreeHGC-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false;missing_external_dependency,0.5,,,,,,,,,,,,,DBLP,support_node_ratio,0.5,1,1,False,missing_external_dependency,FreeHGC root was not provided or does not exist.,missing_external_dependency,external FreeHGC adapter,False,,,False,False,not_executed_gate21_6_budget,,,,,,,25,0
GraphSparsify-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.1,0.1,0.18850482133582244,0.18850482133582244,0.18850482133582244,,,,,,,,,DBLP,support_node_ratio,0.1,1,1,True,,,constructed_estimate,relation-wise persistent edge pruning,False,9c0a8af8b716860243ce0ef3b33fb99f9671de6c53988f285856eabc7360e3b0,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
GraphSparsify-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.2,0.2,0.27867095229850886,0.27867095229850886,0.27867095229850886,,,,,,,,,DBLP,support_node_ratio,0.2,1,1,True,,,constructed_estimate,relation-wise persistent edge pruning,False,1990b327540c03a377cadf9b36c22d51894a44e729422f4aba66a6d8ecb803d3,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
