dataset,method,canonical_method,method_family,schema_compatible,official_sehgnn_unmodified,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,keeps_all_target_nodes,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,runs,success_count,graph_seed_count,training_seed_count,structural_storage_ratio,raw_hgb_text_byte_ratio,official_text_hgb_byte_ratio,support_node_ratio,support_edge_ratio,preprocessed_cache_byte_ratio,test_micro_mean,test_micro_std,test_macro_mean,test_macro_std,recovery_micro_mean,full_minus_micro,deterministic_graph_method,expected_export_hash_unique_count,actual_export_hash_unique_count,graph_sampling_stability_pass,graph_sampling_warning,adapter_package_ratio,OFFICIAL_STRUCTURAL_APV12_PASS,OFFICIAL_STRUCTURAL_APV16_PASS,OFFICIAL_STRUCTURAL30_PASS,OFFICIAL_STRUCTURAL20_PASS,OFFICIAL_STRUCTURAL12_PASS,RAW_HGB_BYTE50_PASS,RAW_HGB_BYTE30_PASS,ADAPTER_PACKAGE10_PASS,ADAPTER_PACKAGE05_PASS
DBLP,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.19881894209127793,0.5325500660990953,0.5325500660990953,0.30003171582619725,0.1759264670278754,,0.9481692,0.003040232517423661,0.9444909999999999,0.0032740160659349067,0.9945338961660826,0.005210999999999966,True,1,1,True,,,False,False,True,True,False,False,False,False,False
DBLP,HeSF-RCS-APV12,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.11951718894668302,0.5300203883188904,0.5300203883188904,0.30003171582619725,0.08797575615905429,,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,0.9909888540742896,0.008591399999999916,True,1,1,True,,,True,False,True,True,True,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.14839251168637604,0.5309508419017935,0.5309508419017935,0.30003171582619725,0.12000033393720311,,0.9462676,0.002874629896177954,0.942154,0.003160114871329866,0.9925397108194666,0.0071126000000000245,False,5,1,False,graph_seed_count<5,,False,False,True,True,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.1772828893388635,0.5318818408942705,0.5318818408942705,0.30003171582619725,0.1520416085755074,,0.9445772,0.0047062421697146245,0.9403844000000001,0.00509921435517273,0.9907659849690971,0.008803000000000005,False,5,1,False,graph_seed_count<5,,False,False,True,True,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.29282181757962167,0.5356045112159086,0.5356045112159086,0.30003171582619725,0.28018166183849125,,0.9480282000000001,0.002363117804934785,0.9440918,0.0026468861252422577,0.9943874677470361,0.005351999999999912,False,5,1,False,graph_seed_count<5,,False,False,True,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.12628437224777375,0.5302519525586996,0.5302519525586996,0.30003171582619725,0.09548099479892806,,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,0.9909888540742896,0.008591399999999916,False,5,1,False,graph_seed_count<5,,False,False,True,True,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.11274624191739371,0.5297887028769537,0.5297887028769537,0.30003171582619725,0.08046634330414165,,0.9209156000000001,0.0031226669755194726,0.9159468000000001,0.0032258201685772966,0.9659477905512801,0.032464599999999955,False,5,1,False,graph_seed_count<5,,False,False,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.11612983356793907,0.5299044736341588,0.5299044736341588,0.30003171582619725,0.08421896262407855,,0.9310562000000001,0.003183561866840331,0.9259472000000001,0.003109502301012172,0.9765839576340738,0.0223239999999999,False,5,1,False,graph_seed_count<5,,False,False,True,True,True,False,False,False,False
DBLP,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.15239711848969115,0.5310533334508994,0.5310533334508994,0.30003171582619725,0.1244416987385522,,0.9483098,0.002740009810201384,0.9444657999999999,0.003123299114718272,0.9946814594402488,0.0050704000000000304,False,5,1,False,graph_seed_count<5,,False,False,True,True,False,False,False,False,False
DBLP,HeSF-RCS-APV16,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.15916430179078186,0.5312848976907086,0.5312848976907086,0.30003171582619725,0.131946937378426,,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,0.9962325245858523,0.0035914000000000224,False,5,1,False,graph_seed_count<5,,False,True,True,True,False,False,False,False,False
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.0866334956754763,0.5289873295598869,0.5289873295598869,0.30003171582619725,0.051505639364517505,,0.876479,0.004875754669792177,0.871198,0.005014130752184273,0.9193393741742997,0.0769012,False,5,1,False,graph_seed_count<5,,False,False,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,5,5,1,5,0.10307722417517898,0.5295038248512903,0.5295038248512903,0.30003171582619725,0.06974278486930532,,0.9065496000000002,0.003880227807745329,0.9012616,0.003865851036964578,0.9508798762282442,0.046830599999999833,False,5,1,False,graph_seed_count<5,,False,False,False,False,False,False,False,False,False
DBLP,H6-node30,H6-node30,schema_preserving_rcs,True,True,False,False,False,True,True,False,False,True,25,25,5,5,0.7765286382078631,0.5511642282465133,0.5511642282465133,0.3000317158261972,0.8166434302029504,,0.9470422000000002,0.0029595227588244733,0.9433027999999999,0.003234023710488219,0.9933519323843204,0.006337999999999844,True,1,5,False,deterministic_export_hash_unique_count!=1,,False,False,False,False,False,False,False,False,False
DBLP,export-full-SeHGNN,export-full-SeHGNN,official_reference,True,True,False,False,False,True,False,False,False,True,5,5,0,5,,,,,,,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,0.0,True,1,1,True,,,False,False,False,False,False,False,False,False,False
DBLP,full-native-SeHGNN,full-native-SeHGNN,official_reference,True,True,False,False,False,True,False,False,False,True,5,5,0,5,,,,,,,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,0.0,True,1,1,True,,,False,False,False,False,False,False,False,False,False
